sheet_id,gear_Tier,slot1_ID,slot1_LvlReq,slot2_ID,slot2_LvlReq,slot3_ID,slot3_LvlReq,slot4_ID,slot4_LvlReq,slot5_ID,slot5_LvlReq,slot6_ID,slot6_LvlReq,health,damage,armor,focus,resist,crit_Damage,crit_Chance,speed,dodge_Chance,block_Chance,block_Amount,accuracy,
TestMan,0,,0,,0,,0,,0,,0,,0,60,19,4,32,32,0,0,0,0,0,0,0,
TestMan,1,Green_Focus_Mat,1,T1_NoArmor,1,Green_Damage_Mat,1,Green_Resist_Mat,3,Green_Armor_Mat,2,Green_Health_Mat,4,378,117,23,53,53,0,0,0,0,0,0,0,
TestMan,2,T2_Mutant_Focus,12,T1_NoArmor,4,T2_Mutant_Damage,6,T2_Mutant_Resist,9,T2_Mutant_Armor,4,T2_Mutant_Health,10,964,249,58,82,82,0,0,0,0,0,0,0,
TestMan,3,T3_Mutant_Focus,14,T1_NoArmor,12,T3_Mutant_Damage,12,T3_Mutant_Resist,15,T3_Mutant_Armor,14,T3_Mutant_Health,18,1791,396,108,113,113,0,0,0,0,0,0,0,
TestMan,4,T4_Mutant_Focus,24,T1_NoArmor,18,T4_Mutant_Damage,18,T4_Mutant_Resist,19,T4_Mutant_Armor,19,T4_Mutant_Health,20,3258,561,196,149,149,0,0,0,0,0,0,0,
TestMan,5,T5_Mutant_Focus,24,T1_NoArmor,24,T5_Mutant_Damage,28,T5_Mutant_Resist,25,T5_Mutant_Armor,30,T5_Mutant_Health,25,4804,745,288,188,188,0,0,0,0,0,0,0,
TestMan,6,T6_Mutant_Focus,36,T1_NoArmor,30,T6_Mutant_Damage,31,T6_Mutant_Resist,30,T6_Mutant_Armor,35,T6_Mutant_Health,30,6732,948,404,232,232,0,0,0,0,0,0,0,
TestMan,7,T7_Mutant_Focus,40,T1_NoArmor,36,T7_Mutant_Damage,42,T7_Mutant_Resist,41,T7_Mutant_Armor,36,T7_Mutant_Health,37,9852,1175,591,281,281,0,0,0,0,0,0,0,
TestMan,8,T8_Mutant_Focus,45,T1_NoArmor,42,T8_Mutant_Damage,48,T8_Mutant_Resist,43,T8_Mutant_Armor,42,T8_Mutant_Health,46,13792,1425,828,334,334,0,0,0,0,0,0,0,
TestMan,9,T9_Mutant_Focus,54,T1_NoArmor,48,T9_Mutant_Damage,48,T9_Mutant_Resist,48,T9_Mutant_Armor,48,T9_Mutant_Health,49,17568,1702,1054,394,394,0,0,0,0,0,0,0,
TestMan,10,T10_Mutant_Focus,54,T1_NoArmor,54,T10_Mutant_Damage,60,T10_Mutant_Resist,59,T10_Mutant_Armor,54,T10_Mutant_Health,54,22016,2007,1321,460,460,0,0,0,0,0,0,0,
TestMan,11,T11_Mutant_Focus,61,T1_NoArmor,60,T11_Mutant_Damage,63,T11_Mutant_Resist,60,T11_Mutant_Armor,60,T11_Mutant_Health,65,25068,2286,1504,520,520,0,0,0,0,0,0,0,
TestMan,12,T12_Mutant_Focus,69,T1_NoArmor,65,T12_Mutant_Damage,70,T12_Mutant_Resist,69,T12_Mutant_Armor,66,T12_Mutant_Health,65,28373,2587,1702,584,584,0,0,0,0,0,0,0,
TestMan,13,T13_Mutant_Focus,1000,T1_NoArmor,1000,T13_Mutant_Damage,1000,T13_Mutant_Resist,1000,T13_Mutant_Armor,1000,T13_Mutant_Health,1000,31950,2913,1917,654,654,0,0,0,0,0,0,0,
TestMan,14,T14_Mutant_Focus,1000,T1_NoArmor,1000,T14_Mutant_Damage,1000,T14_Mutant_Resist,1000,T14_Mutant_Armor,1000,T14_Mutant_Health,1000,35819,3266,2149,730,730,0,0,0,0,0,0,0,
TestMan,15,T15_Mutant_Focus,1000,T1_NoArmor,1000,T15_Mutant_Damage,1000,T15_Mutant_Resist,1000,T15_Mutant_Armor,1000,T15_Mutant_Health,1000,39998,3647,2400,812,812,0,0,0,0,0,0,0,
TestMan,16,T16_Mutant_Focus,1000,T1_NoArmor,1000,T16_Mutant_Damage,1000,T16_Mutant_Resist,1000,T16_Mutant_Armor,1000,T16_Mutant_Health,1000,42665,3890,2560,864,864,0,0,0,0,0,0,0,
TestMan,17,T17_Mutant_Focus,1000,T1_NoArmor,1000,T17_Mutant_Damage,1000,T17_Mutant_Resist,1000,T17_Mutant_Armor,1000,T17_Mutant_Health,1000,45456,4144,2727,919,919,0,0,0,0,0,0,0,
TestMan,18,T18_Mutant_Focus,1000,T1_NoArmor,1000,T18_Mutant_Damage,1000,T18_Mutant_Resist,1000,T18_Mutant_Armor,1000,T18_Mutant_Health,1000,48378,4411,2903,976,976,0,0,0,0,0,0,0,
TestMan,19,T19_Mutant_Focus,1000,T1_NoArmor,1000,T19_Mutant_Damage,1000,T19_Mutant_Resist,1000,T19_Mutant_Armor,1000,T19_Mutant_Health,1000,51434,4690,3086,1036,1036,0,0,0,0,0,0,0,
TestMan,20,T20_Mutant_Focus,1000,T1_NoArmor,1000,T20_Mutant_Damage,1000,T20_Mutant_Resist,1000,T20_Mutant_Armor,1000,T20_Mutant_Health,1000,54632,4981,3278,1099,1099,0,0,0,0,0,0,0,
AimControl_Infect,0,,0,,0,,0,,0,,0,,0,51,16,5,46,32,0,0,0,0,0,0,0,
AimControl_Infect,1,Green_Focus_Mat,4,T1_AimControl_Infect,1,Green_Damage_Mat,1,Green_Resist_Mat,1,Green_Armor_Mat,2,Green_Health_Mat,3,322,100,32,77,53,0,0,0,0,0,0,0,
AimControl_Infect,2,Green_Focus_Mat,8,T2_AimControl_Infect,4,Green_Damage_Mat,12,Green_Resist_Mat,4,T2_Bio_Armor,4,Green_Health_Mat,5,819,214,81,118,82,0,0,0,0,0,0,0,
AimControl_Infect,3,T3_Bio_Focus,12,T3_AimControl_Infect,12,Green_Damage_Mat,16,T2_Bio_Resist,14,T3_Bio_Armor,12,T2_Bio_Health,18,1522,340,150,164,113,0,0,0,0,0,0,0,
AimControl_Infect,4,T3_Bio_Focus,18,T4_AimControl_Infect,18,T2_Bio_Damage,18,T4_Bio_Resist,21,T4_Bio_Armor,24,T2_Bio_Health,18,2770,481,274,216,149,0,0,0,0,0,0,0,
AimControl_Infect,5,T5_Bio_Focus,30,T5_AimControl_Infect,24,T3_Bio_Damage,26,T4_Bio_Resist,27,T5_Bio_Armor,24,T3_Bio_Health,27,4084,638,404,273,188,0,0,0,0,0,0,0,
AimControl_Infect,6,T5_Bio_Focus,30,T6_AimControl_Infect,30,T4_Bio_Damage,36,T6_Bio_Resist,32,T6_Bio_Armor,33,T4_Bio_Health,30,5722,813,566,336,232,0,0,0,0,0,0,0,
AimControl_Infect,7,T7_Bio_Focus,38,T7_AimControl_Infect,36,T5_Bio_Damage,39,T6_Bio_Resist,40,T7_Bio_Armor,42,T5_Bio_Health,36,8375,1007,828,407,281,0,0,0,0,0,0,0,
AimControl_Infect,8,T7_Bio_Focus,47,T8_AimControl_Infect,42,T6_Bio_Damage,48,T8_Bio_Resist,47,T8_Bio_Armor,42,T6_Bio_Health,43,11723,1222,1158,485,334,0,0,0,0,0,0,0,
AimControl_Infect,9,T9_Bio_Focus,48,T9_AimControl_Infect,48,T7_Bio_Damage,53,T8_Bio_Resist,50,T9_Bio_Armor,53,T7_Bio_Health,54,14933,1459,1476,571,394,0,0,0,0,0,0,0,
AimControl_Infect,10,T9_Bio_Focus,60,T10_AimControl_Infect,54,T8_Bio_Damage,56,T10_Bio_Resist,59,T10_Bio_Armor,54,T8_Bio_Health,57,18714,1721,1849,666,460,0,0,0,0,0,0,0,
AimControl_Infect,11,T11_Bio_Focus,62,T11_AimControl_Infect,60,T9_Bio_Damage,64,T10_Bio_Resist,64,T11_Bio_Armor,65,T9_Bio_Health,60,21307,1960,2106,753,520,0,0,0,0,0,0,0,
AimControl_Infect,12,T11_Bio_Focus,69,T12_AimControl_Infect,65,T10_Bio_Damage,66,T12_Bio_Resist,65,T12_Bio_Armor,65,T9_Bio_Health,70,24117,2218,2383,847,584,0,0,0,0,0,0,0,
AimControl_Infect,13,T13_Bio_Focus,1000,T13_AimControl_Infect,1000,T12_Bio_Damage,1000,T12_Bio_Resist,1000,T13_Bio_Armor,1000,T6_Bio_Health,1000,31231,2498,2684,949,654,0,0,0,0,0,0,0,
AimControl_Infect,14,T13_Bio_Focus,1000,T14_AimControl_Infect,1000,T13_Bio_Damage,1000,T14_Bio_Resist,1000,T14_Bio_Armor,1000,T6_Bio_Health,1000,35013,2800,3009,1059,730,0,0,0,0,0,0,0,
