id,translation
ID_ABILITY_AIMCONTROL_INFECT_BASIC_NAME,Puncture
ID_ABILITY_AIMCONTROL_INFECT_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_NAME,Biohazard
ID_ABILITY_AIMCONTROL_INFECT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMCONTROL_INFECT_PASSIVE_NAME,Metabolism
ID_ABILITY_AIMCONTROL_INFECT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_BASIC_NAME,Bash
ID_ABILITY_AIMDMG_OFFENSE_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_SPECIAL_NAME,Sudden Evolution
ID_ABILITY_AIMDMG_OFFENSE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_OFFENSE_PASSIVE_NAME,Growth Spurt
ID_ABILITY_AIMDMG_OFFENSE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_BASIC_NAME,Submachine Gun
ID_ABILITY_AIMDMG_SPEED_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_SPECIAL_NAME,Hyperdose
ID_ABILITY_AIMDMG_SPEED_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMDMG_SPEED_PASSIVE_NAME,Juicer
ID_ABILITY_AIMDMG_SPEED_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_BASIC_NAME,Wounding Shot
ID_ABILITY_AIMSUPPORT_HEAL_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_SPECIAL_NAME,Surgery Drone
ID_ABILITY_AIMSUPPORT_HEAL_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMSUPPORT_HEAL_PASSIVE_NAME,Antidote
ID_ABILITY_AIMSUPPORT_HEAL_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_BASIC_NAME,Takedown
ID_ABILITY_AIMTANK_TAUNT_BASIC_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_SPECIAL_NAME,Charge Capacitor
ID_ABILITY_AIMTANK_TAUNT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_AIMTANK_TAUNT_PASSIVE_NAME,Immunization
ID_ABILITY_AIMTANK_TAUNT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_BASIC_NAME,Scrappy Fighter
ID_ABILITY_ANTMAN_BASIC_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_SPECIAL_NAME,Gum Up the Works
ID_ABILITY_ANTMAN_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_ULTIMATE_NAME,Stomp
ID_ABILITY_ANTMAN_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_ANTMAN_PASSIVE_NAME,Escape Plan
ID_ABILITY_ANTMAN_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_BASIC_NAME,Arcane Scourge
ID_ABILITY_BARONMORDO_BASIC_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_SPECIAL_NAME,Mesmerize
ID_ABILITY_BARONMORDO_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_ULTIMATE_NAME,Demons of Denak
ID_ABILITY_BARONMORDO_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BARONMORDO_PASSIVE_NAME,Too Many Sorcerers
ID_ABILITY_BARONMORDO_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_BASIC_NAME,Claw Slash
ID_ABILITY_BLACKPANTHER_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_SPECIAL_NAME,Hunter's Spirit
ID_ABILITY_BLACKPANTHER_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_ULTIMATE_NAME,Panther Rush
ID_ABILITY_BLACKPANTHER_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLACKPANTHER_PASSIVE_NAME,Defender of Wakanda
ID_ABILITY_BLACKPANTHER_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_BASIC_NAME,Sabotage
ID_ABILITY_BLACKWIDOW_BASIC_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_SPECIAL_NAME,Camouflage Tech
ID_ABILITY_BLACKWIDOW_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_ULTIMATE_NAME,Widow's Bite
ID_ABILITY_BLACKWIDOW_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BLACKWIDOW_PASSIVE_NAME,Saboteur
ID_ABILITY_BLACKWIDOW_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_BASIC_NAME,Throwing Knife
ID_ABILITY_BULLSEYE_BASIC_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_SPECIAL_NAME,Card Trick
ID_ABILITY_BULLSEYE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_ULTIMATE_NAME,Kill Shot
ID_ABILITY_BULLSEYE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_BULLSEYE_PASSIVE_NAME,Never Miss
ID_ABILITY_BULLSEYE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CABLE_BASIC_NAME,Plasma Rifle
ID_ABILITY_CABLE_BASIC_FICTIONAL_DESC,
ID_ABILITY_CABLE_SPECIAL_NAME,Overload
ID_ABILITY_CABLE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CABLE_ULTIMATE_NAME,Psychic Surge
ID_ABILITY_CABLE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CABLE_PASSIVE_NAME,Time Sense
ID_ABILITY_CABLE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_BASIC_NAME,Shield Bash
ID_ABILITY_CAPTAINAMERICA_BASIC_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_SPECIAL_NAME,Inspire
ID_ABILITY_CAPTAINAMERICA_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_ULTIMATE_NAME,Shield Throw
ID_ABILITY_CAPTAINAMERICA_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CAPTAINAMERICA_PASSIVE_NAME,Assemble!
ID_ABILITY_CAPTAINAMERICA_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_BASIC_NAME,Cleave
ID_ABILITY_CARNAGE_BASIC_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_SPECIAL_NAME,Slaughter
ID_ABILITY_CARNAGE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_ULTIMATE_NAME,Absolute Carnage
ID_ABILITY_CARNAGE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CARNAGE_PASSIVE_NAME,Frenzied Fury
ID_ABILITY_CARNAGE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_CROSSBONES_BASIC_NAME,Piston Punch
ID_ABILITY_CROSSBONES_BASIC_FICTIONAL_DESC,
ID_ABILITY_CROSSBONES_SPECIAL_NAME,Wrath
ID_ABILITY_CROSSBONES_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_CROSSBONES_ULTIMATE_NAME,Detonate
ID_ABILITY_CROSSBONES_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_CROSSBONES_PASSIVE_NAME,Vengeance
ID_ABILITY_CROSSBONES_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_DAREDEVIL_BASIC_NAME,Strike Without Fear
ID_ABILITY_DAREDEVIL_BASIC_FICTIONAL_DESC,
ID_ABILITY_DAREDEVIL_SPECIAL_NAME,Throw Baton
ID_ABILITY_DAREDEVIL_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_DAREDEVIL_ULTIMATE_NAME,Brawl
ID_ABILITY_DAREDEVIL_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_DAREDEVIL_PASSIVE_NAME,Enhance Senses
ID_ABILITY_DAREDEVIL_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_DEADPOOL_BASIC_NAME,Dual Pistols
ID_ABILITY_DEADPOOL_BASIC_FICTIONAL_DESC,
ID_ABILITY_DEADPOOL_SPECIAL_NAME,Bounty Hunter
ID_ABILITY_DEADPOOL_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_DEADPOOL_ULTIMATE_NAME,Hack 'n' Slash
ID_ABILITY_DEADPOOL_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_DEADPOOL_PASSIVE_NAME,Merc with a Mouth
ID_ABILITY_DEADPOOL_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_DOCTORSTRANGE_BASIC_NAME,Bolt of Balthak
ID_ABILITY_DOCTORSTRANGE_BASIC_FICTIONAL_DESC,
ID_ABILITY_DOCTORSTRANGE_SPECIAL_NAME,Winds of Watoomb
ID_ABILITY_DOCTORSTRANGE_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_DOCTORSTRANGE_ULTIMATE_NAME,Book of the Vishanti
ID_ABILITY_DOCTORSTRANGE_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_DOCTORSTRANGE_PASSIVE_NAME,Master of the Arcane Arts
ID_ABILITY_DOCTORSTRANGE_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_DRAX_BASIC_NAME,Knife Slash
ID_ABILITY_DRAX_BASIC_FICTIONAL_DESC,
ID_ABILITY_DRAX_SPECIAL_NAME,Fast Reflexes
ID_ABILITY_DRAX_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_DRAX_ULTIMATE_NAME,Good Fighting
ID_ABILITY_DRAX_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_DRAX_PASSIVE_NAME,Destroyer
ID_ABILITY_DRAX_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_ELEKTRA_BASIC_NAME,Sneak Attack
ID_ABILITY_ELEKTRA_BASIC_FICTIONAL_DESC,
ID_ABILITY_ELEKTRA_SPECIAL_NAME,Into Shadow
ID_ABILITY_ELEKTRA_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_ELEKTRA_ULTIMATE_NAME,Vital Strike
ID_ABILITY_ELEKTRA_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_ELEKTRA_PASSIVE_NAME,Death's Grace
ID_ABILITY_ELEKTRA_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_GAMORA_BASIC_NAME,Assassin's Strike
ID_ABILITY_GAMORA_BASIC_FICTIONAL_DESC,
ID_ABILITY_GAMORA_SPECIAL_NAME,Ruthless Blade
ID_ABILITY_GAMORA_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_GAMORA_ULTIMATE_NAME,Flying Slash
ID_ABILITY_GAMORA_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_GAMORA_PASSIVE_NAME,Deadly Methods
ID_ABILITY_GAMORA_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_GROOT_BASIC_NAME,Crushing Blow
ID_ABILITY_GROOT_BASIC_FICTIONAL_DESC,
ID_ABILITY_GROOT_SPECIAL_NAME,Overgrowth
ID_ABILITY_GROOT_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_GROOT_ULTIMATE_NAME,Life Spores
ID_ABILITY_GROOT_ULTIMATE_FICTIONAL_DESC,
ID_ABILITY_GROOT_PASSIVE_NAME,I am Groot
ID_ABILITY_GROOT_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_HANDCONTROL_HEALBLOCK_BASIC_NAME,Ninjutsu
ID_ABILITY_HANDCONTROL_HEALBLOCK_BASIC_FICTIONAL_DESC,
ID_ABILITY_HANDCONTROL_HEALBLOCK_SPECIAL_NAME,Shuriken
ID_ABILITY_HANDCONTROL_HEALBLOCK_SPECIAL_FICTIONAL_DESC,
ID_ABILITY_HANDCONTROL_HEALBLOCK_PASSIVE_NAME,Touch of Death
ID_ABILITY_HANDCONTROL_HEALBLOCK_PASSIVE_FICTIONAL_DESC,
ID_ABILITY_HANDDMG_BONUS_BASIC_NAME,Sword Slash
ID_ABILITY_HANDDMG_BONUS_BASIC_FICTIONAL_DESC,
