id,translation
ID_DIALOG_NUE_00_01_0,"Commander, I'm glad you're here. \nWe have a situation."
ID_DIALOG_NUE_00_01_1,Interdimensional signatures are popping up all over New York City.
ID_DIALOG_NUE_00_01_2,"As commander of S.T.R.I.K.E., interdimensional threats are your jurisdiction. "
ID_DIALOG_NUE_00_01_3,I've taken the liberty of assigning you two agents.
ID_DIALOG_NUE_00_02_0,No one knows New York City like Spider-Man. He should come in handy.
ID_DIALOG_NUE_00_03_0,I've also transferred my top medic to S.T.R.I.K.E. for additional support.
ID_DIALOG_NUE_00_04_0,Looks like Kingpin is helping smuggle interdimensional <color=#fff568>ORBS</color> into the city.
ID_DIALOG_NUE_00_04_1,We should start by intercepting his shipment.
ID_DIALOG_NUE_01_01_0,Hey Commander! We intercepted Kingpin's guys transporting the interdimensional glowing things.
ID_DIALOG_NUE_01_01_1,"But Kingpin's mercs won't hand the orbs over. I even said ""please!"""
ID_DIALOG_NUE_01_02_0,Use Spider-Man's <color=#fff568>BASIC ABILITY</color>.
ID_DIALOG_NUE_01_03_0,Use the S.H.I.E.L.D. Medic's <color=#fff568>SPECIAL ABILITY</color> to heal your squad.
ID_DIALOG_NUE_01_04_0,Use Spider-Man's <color=#fff568>SPECIAL ABILITY</color> to defeat the remaining mercenaries.
ID_DIALOG_NUE_01_05_0,Good work. Now bring those <color=#fff568>POWER CORES</color> back to base. \nWe can use them to open one of the orbs your team recovered.
ID_DIALOG_NUE_02_01_0,Maybe if we use our remaining <color=#fff568>POWER CORES</color> we can open one of the <color=#fff568>ORBS</color>...
ID_DIALOG_NUE_02_02_0,Select the <color=#fff568>PREMIUM ORB</color> to enter the <color=#fff568>ORB CHAMBER</color>.
ID_DIALOG_NUE_02_03_0,Use the <color=#fff568>POWER CORES</color> to open the <color=#fff568>ORB</color> you recovered.
ID_DIALOG_NUE_02_04_0,"Luke Cage was inside that <color=#fff568>ORB</color>? \nHe does NOT look happy about that. "
ID_DIALOG_NUE_02_05_0,Sweet Christmas! \nThanks for getting me out of that thing.
ID_DIALOG_NUE_02_05_1,Kingpin's abducting heroes around the city. He's using tech way out of his league.
ID_DIALOG_NUE_02_05_2,"Whatever Kingpin is up to, it needs to be stopped. Count me in. "
ID_DIALOG_NUE_02_06_0,Kingpin's our target. Your goals are tracked in <color=#fff568>DAILY OBJECTIVES</color>.
ID_DIALOG_NUE_02_07_0,We've tracked Kingpin's operation to the warehouse district. Move out.
ID_DIALOG_NUE_02_08_0,Complete <color=#fff568>MISSIONS</color> to make progress on your <color=#fff568>DAILY OBJECTIVE</color>.
ID_DIALOG_NUE_02_09_0,This is where you set up your <color=#fff568>S.T.R.I.K.E. SQUAD</color> for each mission.
ID_DIALOG_NUE_ABILITY_HOLD_0,You can <color=#fff568>PRESS</color> and <color=#fff568>HOLD</color> an <color=#fff568>ABILITY</color> icon to get details about that <color=#fff568>ABILITY</color>.
ID_DIALOG_NUE_BUFF_TAUNT1_0,Applying a <color=#fff568>TAUNT</color> effect forces enemies to target that unit.
ID_DIALOG_NUE_03_01_0,You recovered a <color=#fff568>TRAINING MODULE</color>. \nLet's send Spider-Man through <color=#fff568>TRAINING</color>.
ID_DIALOG_NUE_03_02_0,"To send a S.T.R.I.K.E. character through <color=#fff568>TRAINING</color>, select your <color=#fff568>ROSTER</color>..."
ID_DIALOG_NUE_03_03_0,Then select an <color=#fff568>AGENT</color> from the <color=#fff568>ROSTER</color>.
ID_DIALOG_NUE_03_04_0,Choose <color=#fff568>TRAIN</color> to send Spider-Man through <color=#fff568>TRAINING</color>.
ID_DIALOG_NUE_03_05_0,Select a <color=#fff568>TRAINING MODULE</color>.
ID_DIALOG_NUE_03_06_0,Apply the <color=#fff568>TRAINING MODULE</color>.
ID_DIALOG_NUE_03_07_0,Make sure to <color=#fff568>TRAIN</color> your S.T.R.I.K.E. Force regularly.
ID_DIALOG_NUE_03_08_0,We located Kingpin's warehouse. \nYour orders are to move in and engage.
