id,translation
ID_GAMEMODE_INSANITY,DARK DIMENSION
ID_INSANITY_FIRST_TIME_REWARDS,Possible Rewards
ID_INSANITY_REWARDS_INFO_DESC,Temp Info
ID_INSANITY_EVENT_CARD_TITLE,Insanity Title
ID_INSANITY_EVENT_CARD_DESC,Insanity Desc
ID_INSANITY_EVENT_CARD_INFO_01,"WARNING: This challenge is very difficult, but if you complete the map you will earn immortality on the leaderboard. Your characters will revive when your Daily Objectives reset every day so you can continue your journey.\n\nEarn 800 Orange Gear Materials and 6 full pieces of Orange Gear from the list of possible rewards below when you complete ""Enter the Darkness"" for the first time. Earn even more rewards when you complete your first timed run. Collect Gold when you complete each node during the first two runs of this challenge."
ID_INSANITY_EVENT_CARD_INFO_02,"WARNING: This challenge is insanely difficult, making ""Enter the Darkness"" look like a walk in the park. Those who complete this challenge will not only gain immortality on the leaderboard but also unlock a unique player avatar frame! Your characters will revive when your Daily Objectives reset every day so you can continue your journey.\n\nEarn 2,400 Orange Gear Materials and 18 full pieces of Orange Gear from the list of possible rewards below when you complete ""Fear the Darkness"" for the first time, as well as the ultra-powerful Ultron! Earn even more rewards when you complete your first timed run. Collect Gold when you complete each node during the first two runs of this challenge."
ID_INSANITY_TIMELEFT,TIME LEFT
ID_INSANITY_PROGRESS,PROGRESS
ID_INSANITY_PERCENT,{percent}%
ID_INSANITY_PERCENT_LEFT,{percent}% left
ID_INSANITY_AVAILABLE_IN,Available In
ID_INSANITY_RESETS_IN,Resets in
ID_INSANITY_LEADERBOARD_TITLE,GLOBAL DAMAGE LEADERBOARD
ID_INSANITY_ATTACK_HISTORY,MY ATTACK HISTORY
ID_INSANITY_ATTACK_TITLE,Attack {value}
ID_INSANITY_BEST_ATTACK_TITLE,MY BEST ATTACKS
ID_INSANITY_BEST_ATTACK_ROW_NAME," Best attack {value}"
ID_INSANITY_COMPLETION_TAB,Completion
ID_INSANITY_TIMED_TAB,Timed
ID_INSANITY_TEAM,TEAM
ID_MISSION_INSANITY_01_01_NAME,Mission 1
ID_MISSION_INSANITY_01_02_NAME,Mission 2
ID_MISSION_INSANITY_01_03_NAME,Mission 3
ID_MISSION_INSANITY_01_04_NAME,Mission 4
ID_MISSION_INSANITY_01_05_NAME,Mission 5
ID_MISSION_INSANITY_01_06_NAME,Mission 6
ID_MISSION_INSANITY_01_07_NAME,Mission 7
ID_MISSION_INSANITY_01_08_NAME,Mission 8
ID_MISSION_INSANITY_01_09_NAME,Mission 9
ID_MISSION_INSANITY_01_10_NAME,Mission 10
ID_MISSION_INSANITY_01_11_NAME,Mission 11
ID_MISSION_INSANITY_01_12_NAME,Mission 12
ID_MISSION_INSANITY_01_13_NAME,Mission 13
ID_MISSION_INSANITY_01_14_NAME,Mission 14
ID_MISSION_INSANITY_01_15_NAME,Mission 15
ID_MISSION_INSANITY_01_16_NAME,Mission 16
ID_INSANITY_NAME_01,ENTER THE DARKNESS
ID_INSANITY_NAME_02,FEAR THE DARKNESS
ID_INSANITY_DESC_01,Very Hard
ID_INSANITY_DESC_02,Insanely Hard
ID_MISSION_INSANITY_02_01_NAME,Mission 1
ID_MISSION_INSANITY_02_02_NAME,Mission 2
ID_MISSION_INSANITY_02_03_NAME,Mission 3
ID_MISSION_INSANITY_02_04_NAME,Mission 4
ID_MISSION_INSANITY_02_05_NAME,Mission 5
ID_MISSION_INSANITY_02_06_NAME,Mission 6
ID_MISSION_INSANITY_02_07_NAME,Mission 7
ID_MISSION_INSANITY_02_08_NAME,Mission 8
ID_MISSION_INSANITY_02_09_NAME,Mission 9
ID_MISSION_INSANITY_02_10_NAME,Mission 10
ID_MISSION_INSANITY_02_11_NAME,Mission 11
ID_MISSION_INSANITY_02_12_NAME,Mission 12
ID_MISSION_INSANITY_02_13_NAME,Mission 13
ID_MISSION_INSANITY_02_14_NAME,Mission 14
ID_MISSION_INSANITY_02_15_NAME,Mission 15
ID_MISSION_INSANITY_02_16_NAME,Mission 16
ID_INSANITY_ENEMY_HEALTH_REMAINING,Enemy Health Remaining
ID_INSANITY_COMPLETED,COMPLETED
ID_INSANITY_DAMAGE,Damage
ID_INSANITY_TOP_100,TOP 100
ID_INSANITY_LEADERBOARD_TOP_3_COMPLETION,Top 3: Completion
ID_INSANITY_LEADERBOARD_TOP_3_TIMED,Top 3: Timed
ID_INSANITY_EMPTY,EMPTY
ID_INSANITY_TIME_ELAPSED,TIME ELAPSED
ID_INSANITY_TIMED_LOCKED,Complete {title} once to unlock Timed runs!
ID_INSANITY_CURRENT_DURATION,Timed Run
ID_INSANITY_ACCESS,You have unlocked Dark Dimension!
ID_MISSION_INSANITY_01_01_DESC,Complete the sixteen trials of Fear the Darkness before you can challenge Dormammu's ultimate agent of destruction.
ID_MISSION_INSANITY_01_16_DESC,"Defeat Dormammu's ultimate agent of destruction, the notorious Ultron, to escape from the Dark Dimension."
ID_MISSION_INSANITY_02_01_DESC,Complete the ten trials of Enter the Darkness before you can challenge Dormammu's agent of shadows.
ID_MISSION_INSANITY_02_10_DESC,"Defeat Dormammu's agent of shadows, the notorious Ultron, to survive the Dark Dimension."
ID_INSANITY_TIMED_RUN_UNLOCKED,TIMED RUN UNLOCKED
