id,translation
ID_ENUM_HERO_STAT_HEALTH,Health
ID_ENUM_HERO_STAT_DAMAGE,Damage
ID_ENUM_HERO_STAT_ARMOR,Armor
ID_ENUM_HERO_STAT_ARMOR_PENETRATION,Armor Penetration
ID_ENUM_HERO_STAT_UNBLOCKABLE_DAMAGE,Unblockable Damage
ID_ENUM_HERO_STAT_FOCUS,Focus
ID_ENUM_HERO_STAT_RESISTANCE,Resistance
ID_ENUM_HERO_STAT_CRIT_DAMAGE,Crit Damage
ID_ENUM_HERO_STAT_CRIT_CHANCE,Crit Chance
ID_ENUM_HERO_STAT_SPEED,Speed
ID_ENUM_HERO_STAT_DODGE_CHANCE,Dodge Chance
ID_ENUM_HERO_STAT_BLOCK_CHANCE,Block Chance
ID_ENUM_HERO_STAT_BLOCK_AMOUNT,Block Amount
ID_ENUM_HERO_STAT_ACCURACY,Accuracy
ID_ENUM_HERO_STAT_DESC_HEALTH,Total capability to withstand damage.
ID_ENUM_HERO_STAT_DESC_DAMAGE,Base damage applied to the target.
ID_ENUM_HERO_STAT_DESC_ARMOR,Reduces incoming damage by this amount.
ID_ENUM_HERO_STAT_DESC_ARMOR_PENETRATION,Damage that ignores the target's armor.
ID_ENUM_HERO_STAT_DESC_UNBLOCKABLE_DAMAGE,Damage that cannot be reduced by blocking.
ID_ENUM_HERO_STAT_DESC_FOCUS,Capability to apply effects to the target.
ID_ENUM_HERO_STAT_DESC_RESISTANCE,Capability to resist effects.
ID_ENUM_HERO_STAT_DESC_CRIT_DAMAGE,Extra damage inflicted when a critical hit is scored.
ID_ENUM_HERO_STAT_DESC_CRIT_CHANCE,Chance to trigger a critical hit with most attacks.
ID_ENUM_HERO_STAT_DESC_SPEED,Fills speed bar and determines the order in which characters act.
ID_ENUM_HERO_STAT_DESC_DODGE_CHANCE,Base chance to avoid an incoming attack.
ID_ENUM_HERO_STAT_DESC_BLOCK_CHANCE,Chance to block most attacks.
ID_ENUM_HERO_STAT_DESC_BLOCK_AMOUNT,Damage reduced when blocking.
ID_ENUM_HERO_STAT_DESC_ACCURACY,Chance to hit the target with most attacks.
ID_ENUM_HERO_TRAIT_AIM,A.I.M.
ID_ENUM_HERO_TRAIT_ALIEN,ALIEN
ID_ENUM_HERO_TRAIT_ANTIHERO,ANTIHERO
ID_ENUM_HERO_TRAIT_ASGARD,ASGARDIAN
ID_ENUM_HERO_TRAIT_AVENGER,AVENGER
ID_ENUM_HERO_TRAIT_AVERAGE,AVERAGE
ID_ENUM_HERO_TRAIT_BIO,BIO
ID_ENUM_HERO_TRAIT_BLASTER,BLASTER
ID_ENUM_HERO_TRAIT_BRAWLER,BRAWLER
ID_ENUM_HERO_TRAIT_CHEMICALS,CHEMICALS
ID_ENUM_HERO_TRAIT_CITY,CITY
