id,translation
ID_OF_NA_COSMIC,Unlock Cosmic Campaign!
ID_OF_DE_COSMIC,"Get 100 shards of Drax, Nebula, and 3 KREE characters to unlock the Cosmic Campaign!"
ID_OF_NA_MYSTIC,Unlock Mystic Campaign!
ID_OF_DE_MYSTIC,"Get 100 shards of Yondu, Iron Fist, and Nobu!"
ID_GACHA_CRATE_ABILITY_NAME,Ability Orb
ID_GACHA_CRATE_ABILITY_DESCRIPTION,Guarantees 3 tiers of Ability Materials
ID_GACHA_CRATE_ABILITY_TOKEN_NAME,Ability Orb Fragments
ID_GACHA_CRATE_ABILITY_TOKEN_DESCRIPTION,Collect Ability Orb Fragments to earn an Ability Orb.
ID_GACHA_CRATE_MEGA_NAME,Mega Orb
ID_GACHA_CRATE_MEGA_DESCRIPTION,Contains 50-100 shards of a marquee character
ID_GACHA_CRATE_MEGA_TOKEN_NAME,Mega Orb Fragments
ID_GACHA_CRATE_MEGA_TOKEN_DESCRIPTION,Collect Mega Orb Fragments to earn a Mega Orb.
ID_GACHA_CRATE_ARENA_SMALL_NAME,Blitz Orb
ID_GACHA_CRATE_ARENA_SMALL_DESCRIPTION,Contains character shards
ID_GACHA_CRATE_ARENA_SMALL_TOKEN_NAME,Blitz Orb Fragments
ID_GACHA_CRATE_ARENA_SMALL_TOKEN_DESCRIPTION,Collect Blitz Orb Fragments to earn a Blitz Orb.
ID_GACHA_CRATE_BASIC_NAME,Basic Orb
ID_GACHA_CRATE_BASIC_DESCRIPTION,"Get character shards, gear, and Gold"
ID_GACHA_CRATE_BASIC_TOKEN_NAME,Basic Orb Fragments
ID_GACHA_CRATE_BASIC_TOKEN_DESCRIPTION,Collect Basic Orb Fragments to earn a Basic Orb.
ID_GACHA_CRATE_DOWNCONVERSION_NAME,Ultimus Orb
ID_GACHA_CRATE_DOWNCONVERSION_DESCRIPTION,Guaranteed Ultimus shards
ID_GACHA_CRATE_GOLD_NAME,Gold Orb
ID_GACHA_CRATE_GOLD_DESCRIPTION,Guarantees 90K to 3M in Gold
ID_GACHA_CRATE_GOLD_TOKEN_NAME,Gold Orb Fragments
ID_GACHA_CRATE_GOLD_TOKEN_DESCRIPTION,Collect Gold Orb Fragments to earn a Gold Orb.
ID_GACHA_CRATE_PREMIUM_NAME,Premium Orb
ID_GACHA_CRATE_PREMIUM_DESCRIPTION,Guarantees at least 15 character shards
ID_GACHA_CRATE_PREMIUM_TOKEN_NAME,Premium Orb Fragments
ID_GACHA_CRATE_PREMIUM_TOKEN_DESCRIPTION,Collect Premium Orb Fragments to earn a Premium Orb.
ID_GACHA_CRATE_RAID_BLUE_GEARMATS_DESCRIPTION,Contains Improved gear and gear materials
ID_GACHA_CRATE_RAID_BLUE_GEARMATS_NAME,Blue Gear Orb
ID_GACHA_CRATE_RAID_BLUE_GEARMATS_TOKEN_DESCRIPTION,Collect Blue Gear Orb Fragments to earn a Blue Gear Orb.
ID_GACHA_CRATE_RAID_BLUE_GEARMATS_TOKEN_NAME,Blue Gear Orb Fragments
ID_GACHA_CRATE_RAID_ORANGE_GEARMATS_DESCRIPTION,Contains Superior gear and Unique Gear Materials
ID_GACHA_CRATE_RAID_ORANGE_GEARMATS_NAME,Orange Gear Orb
ID_GACHA_CRATE_RAID_ORANGE_GEARMATS_TOKEN_DESCRIPTION,Collect Orange Gear Orb Fragments to earn an Orange Gear Orb
ID_GACHA_CRATE_RAID_ORANGE_GEARMATS_TOKEN_NAME,Orange Gear Orb Fragments
ID_GACHA_CRATE_RAID_PURPLE_GEARMATS_DESCRIPTION,Contains Advanced gear and Unique Gear Materials
ID_GACHA_CRATE_RAID_PURPLE_GEARMATS_NAME,Purple Gear Orb
ID_GACHA_CRATE_RAID_PURPLE_GEARMATS_TOKEN_DESCRIPTION,Collect Purple Gear Orb Fragments to earn a Purple Gear Orb.
ID_GACHA_CRATE_RAID_PURPLE_GEARMATS_TOKEN_NAME,Purple Gear Orb Fragments
ID_GACHA_CRATE_RAID_CHASE_SHARD_NAME,Raid Orb
ID_GACHA_CRATE_RAID_CHASE_SHARD_DESCRIPTION,Contains 9 character shards
ID_GACHA_CRATE_RAID_CHASE_SHARD_TOKEN_NAME,Raid Orb Fragments
ID_GACHA_CRATE_RAID_CHASE_SHARD_TOKEN_DESCRIPTION,Collect Raid Orb Fragments to earn a Raid Orb.
ID_GACHA_CRATE_VENOM_NAME,Venom Limited Time Orb
ID_GACHA_CRATE_VENOM_DESCRIPTION,Guaranteed 50-100 Venom Shards
ID_GACHA_CRATE_VENOM_TOKEN_NAME,Venom Limited Time Orb Fragments
ID_GACHA_CRATE_VENOM_TOKEN_DESCRIPTION,Collect Venom Orb Fragments to earn a Venom Orb.
ID_GACHA_CRATE_XP_HIGH_NAME,Training Orb
ID_GACHA_CRATE_XP_HIGH_DESCRIPTION,Guarantees 24 to 75 Lv. 4 Training Modules
ID_GACHA_CRATE_XP_HIGH_TOKEN_NAME,Training Orb Fragments
ID_GACHA_CRATE_XP_HIGH_TOKEN_DESCRIPTION,Collect Training Orb Fragments to earn a Training Orb.
ID_OF_NA_ARENA_CHARGES,Blitz Package
ID_OF_DE_ARENA_CHARGES,Get back in the fight with this bundle of Charges and move up the Blitz leaderboards using this <color=#fff568>AMAZING 50% DEAL</color>!
ID_OF_NA_BEGINNER,New Player Special Offer
ID_OF_DE_BEGINNER,Purchase this limited time offer to fight with a 3-star Captain America on your squad!
ID_OF_NA_BEGINNER_BP,New Player Special Offer
ID_OF_DE_BEGINNER_BP,Get over <color=#fff568>5x value</color> with this limited time offer! Fight with a 3-star Black Panther on your squad!
ID_OF_NA_COSMIC2,Cosmic Chaos
ID_OF_DE_COSMIC2,Fortify your roster with COSMIC characters and more for a limited time!
ID_OF_NA_COSMIC3,Cosmic Collection
ID_OF_DE_COSMIC3,Continue to fortify your roster with COSMIC characters and more for a limited time!
ID_OF_NA_GOLD,Gold Package
ID_OF_DE_GOLD,Replenish your Gold reserves to purchase supplies and upgrade your characters for <color=#fff568>50% OFF</color>!
ID_OF_NA_GUARDIAN,Special Guardians Offer
ID_OF_DE_GUARDIAN,"Purchase this limited time offer for 100 shards of Drax, Gamora, and Rocket Raccoon to help take on Ultimus!"
ID_OF_NA_NFBLACKWIDOW,S.H.I.E.L.D. Offer: Black Widow
ID_OF_DE_NFBLACKWIDOW,Strengthen your S.H.I.E.L.D. team with 30 Black Widow Shards and conquer the Fury's Elite Squad event!
ID_OF_NA_NFHAWKEYE,S.H.I.E.L.D. Offer: Hawkeye
ID_OF_DE_NFHAWKEYE,Strengthen your S.H.I.E.L.D. team with 30 Hawkeye Shards and conquer the Fury's Elite Squad event!
ID_OF_NA_NFQUAKE,S.H.I.E.L.D. Offer: Quake
ID_OF_DE_NFQUAKE,Strengthen your S.H.I.E.L.D. team with 30 Quake Shards and conquer the Fury's Elite Squad event!
ID_OF_NA_TRAINING,Training Package
ID_OF_DE_TRAINING,Strengthen your characters with this bundle of Training Modules!
ID_OF_NA_VILLAIN,Full Villains Offer
ID_OF_DE_VILLAIN,Purchase this limited time offer for 45 Kingpin Shards and 45 Crossbones Shards to complete your squad for the VILLAINS UNITED campaign!
ID_OF_NA_VILLAIN2,Full Villains Offer
ID_OF_DE_VILLAIN2,Purchase this limited time offer for 45 Kingpin Shards and 45 Winter Soldier Shards to complete your squad for the VILLAINS UNITED campaign!
ID_OF_NA_VILLAIN3,Full Villains Offer
ID_OF_DE_VILLAIN3,Purchase this limited time offer for 45 Scientist Supreme Shards and 45 Bullseye Shards to complete your squad for the VILLAINS UNITED campaign!
ID_OF_NA_VILLAIN4,Full Villains Offer
ID_OF_DE_VILLAIN4,Purchase this limited time offer for 45 Kingpin Shards and 15 Mercenary Sniper Shards to complete your squad for the VILLAINS UNITED campaign!
ID_SHOP_IAP_BUNDLE_1_NAME,First Bundle
ID_SHOP_IAP_BUNDLE_1_DESCRIPTION,Get ready for combat with this bundle!
ID_SHOP_IAP_BUNDLE_2_NAME,Better Bundle
ID_SHOP_IAP_BUNDLE_2_DESCRIPTION,A better bundle since it costs more.
ID_SHOP_IAP_HARD_CURRENCY_1_NAME,Power Cores
ID_SHOP_IAP_HARD_CURRENCY_2_NAME,Cluster of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_3_NAME,Bundle of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_4_NAME,Case of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_5_NAME,Crate of Power Cores
ID_SHOP_IAP_HARD_CURRENCY_6_NAME,Shipment of Power Cores
ID_OF_NA_XP_GOLD10,Level 10 Training Pack
ID_OF_DE_XP_GOLD10,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD15,Level 15 Training Pack
ID_OF_DE_XP_GOLD15,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD20,Level 20 Training Pack
ID_OF_DE_XP_GOLD20,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD25,Level 25 Training Pack
ID_OF_DE_XP_GOLD25,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD30,Level 30 Training Pack
ID_OF_DE_XP_GOLD30,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD35,Level 35 Training Pack
ID_OF_DE_XP_GOLD35,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD40,Level 40 Training Pack
ID_OF_DE_XP_GOLD40,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD45,Level 45 Training Pack
ID_OF_DE_XP_GOLD45,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_OF_NA_XP_GOLD50,Level 50 Training Pack
ID_OF_DE_XP_GOLD50,Get a BOOST and train your characters TO THE MAX with this AMAZING 50% OFF bundle!
ID_GACHA_CRATE_FCO_BLACKWIDOW_NAME,Widow's Bite Orb
ID_GACHA_CRATE_FCO_BLACKWIDOW_DESCRIPTION,Increased chance to earn Black Widow shards
ID_GACHA_CRATE_FCO_BLACKWIDOW_TOKEN_NAME,Widow's Bite Orb Fragments
ID_GACHA_CRATE_FCO_BLACKWIDOW_TOKEN_DESCRIPTION,Collect Widow's Bite Orb Fragments to earn a Widow's Bite Orb.
ID_GACHA_CRATE_FCO_JESSICAJONES_NAME,Alias Orb
ID_GACHA_CRATE_FCO_JESSICAJONES_DESCRIPTION,Increased chance to earn Jessica Jones shards
ID_GACHA_CRATE_FCO_JESSICAJONES_TOKEN_NAME,Alias Orb Fragments
ID_GACHA_CRATE_FCO_JESSICAJONES_TOKEN_DESCRIPTION,Collect Alias Orb Fragments to earn a Alias Orb.
ID_GACHA_CRATE_FCO_RONAN_NAME,Accuser Orb
ID_GACHA_CRATE_FCO_RONAN_DESCRIPTION,Increased chance to earn Ronan shards
ID_GACHA_CRATE_FCO_RONAN_TOKEN_NAME,Accuser Orb Fragments
ID_GACHA_CRATE_FCO_RONAN_TOKEN_DESCRIPTION,Collect Accuser Orb Fragments to earn a Accuser Orb.
ID_GACHA_CRATE_FCO_VENOM_NAME,Symbiotic Terror Orb
ID_GACHA_CRATE_FCO_VENOM_DESCRIPTION,Increased chance to earn Venom shards
ID_GACHA_CRATE_FCO_VENOM_TOKEN_NAME,Symbiotic Terror Orb Fragments
ID_GACHA_CRATE_FCO_VENOM_TOKEN_DESCRIPTION,Collect Symbiotic Terror Orb Fragments to earn a Symbiotic Terror Orb.
ID_GACHA_CRATE_FCO_YONDU_NAME,Centaurian Hunter Orb
ID_GACHA_CRATE_FCO_YONDU_DESCRIPTION,Increased chance to earn Yondu shards
ID_GACHA_CRATE_FCO_YONDU_TOKEN_NAME,Centaurian Hunter Orb Fragments
ID_GACHA_CRATE_FCO_YONDU_TOKEN_DESCRIPTION,Collect Centaurian Hunter Orb Fragments to earn a Centaurian Hunter Orb.
ID_OF_NA_IRONMAN,Elite S.H.I.E.L.D. Agents
ID_OF_DE_IRONMAN,Purchase this limited time offer for elite S.H.I.E.L.D. agents and use them to recruit Iron Man!
ID_GACHA_CRATE_FCO_CAPTAINAMERICA_NAME,First Avenger Orb
ID_GACHA_CRATE_FCO_CAPTAINAMERICA_DESCRIPTION,Increased chance to earn Captain America shards
ID_GACHA_CRATE_FCO_CAPTAINAMERICA_TOKEN_NAME,First Avenger Orb Fragments
ID_GACHA_CRATE_FCO_CAPTAINAMERICA_TOKEN_DESCRIPTION,Collect First Avenger Orb Fragments to earn a First Avenger Orb.
ID_OF_NA_GOLD_X10_25,Enhanced Gold Pack
ID_OF_DE_GOLD_X10_25,<color=#fff568>SAVE 25%</color> on this huge Gold offer when you BUY NOW!
ID_OF_NA_GOLD_X10_50,Mighty Gold Pack
ID_OF_DE_GOLD_X10_50,<color=#fff568>SAVE 50%</color> on this huge Gold offer.\nBUY NOW before it's gone!
ID_OF_NA_PREMORB_X10_50,Heroic Premium Orb Training Pack
ID_OF_DE_PREMORB_X10_25,Fill out your roster with 10 Premium Orbs and additional supplies for <color=#fff568>25% OFF</color>!
ID_OF_NA_PREMORBX10_25,Premium Orb Training Pack
ID_OF_DE_PREMORB_X10_50,Fill out your roster with 10 Premium Orbs and additional supplies for <color=#fff568>50% OFF</color>!
ID_OF_NA_XP_X10_25,Hefty Training Pack
ID_OF_DE_XP_X10_25,MAX OUT your favorite characters and obliterate the competition for 25% OFF!
ID_OF_NA_XP_X10_50,Massive Training Pack
ID_OF_DE_XP_X10_50,MAX OUT your favorite characters and obliterate the competition for <color=#fff568>50% OFF!</color>
ID_GACHA_CRATE_FCO_DEADPOOL_NAME,Merc with a Mouth Orb
ID_GACHA_CRATE_FCO_DEADPOOL_TOKEN_NAME,Merc with a Mouth Orb Fragments
ID_GACHA_CRATE_FCO_DEADPOOL_TOKEN_DESCRIPTION,Collect Merc with a Mouth Orb Fragments to earn a Merc with a Mouth Orb.
ID_GACHA_CRATE_FCO_WOLVERINE_NAME,Weapon X Orb
ID_GACHA_CRATE_FCO_WOLVERINE_DESCRIPTION,Increased chance to earn Wolverine shards
ID_GACHA_CRATE_FCO_WOLVERINE_TOKEN_NAME,Weapon X Orb Fragments
ID_GACHA_CRATE_FCO_WOLVERINE_TOKEN_DESCRIPTION,Collect Weapon X Orb Fragments to earn a Weapon X Orb.
ID_GACHA_CRATE_FCO_STARLORD_NAME,Peter Quill Orb
ID_GACHA_CRATE_FCO_STARLORD_DESCRIPTION,Increased chance to earn Star-Lord shards
ID_GACHA_CRATE_FCO_STARLORD_TOKEN_NAME,Peter Quill Orb Fragments
ID_GACHA_CRATE_FCO_STARLORD_TOKEN_DESCRIPTION,Collect Peter Quill Orb Fragments to earn a Peter Quill Orb.
ID_GACHA_CRATE_FCO_VISION_NAME,Synthezoid Orb
ID_GACHA_CRATE_FCO_VISION_DESCRIPTION,Increased chance to earn Vision shards
ID_GACHA_CRATE_FCO_VISION_TOKEN_NAME,Synthezoid Orb Fragments
ID_GACHA_CRATE_FCO_VISION_TOKEN_DESCRIPTION,Collect Synthezoid Orb Fragments to earn a Synthezoid Orb.
ID_SHOP_CATEGORY_ARENA_ORBS_LABEL,ORBS
ID_SHOP_CATEGORY_CREDITS_DESCRIPTION,Power Cores are used to purchase items.
ID_SHOP_CATEGORY_CREDITS_LABEL,POWER CORES
ID_SHOP_CATEGORY_OFFERS_DESCRIPTION,Check out these amazing offers!
ID_SHOP_CATEGORY_OFFERS_LABEL,OFFERS
ID_SHOP_CATEGORY_ORBS_DESCRIPTION,Open Orbs to collect powerful items.
ID_SHOP_CATEGORY_ORBS_LABEL,ORBS
ID_SHOP_CATEGORY_RAID_ORBS_LABEL,RAID ORBS
ID_SHOP_CATEGORY_SHIPMENTS_DESCRIPTION,Directly purchase the items you need.
ID_SHOP_CATEGORY_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_ARENA_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_WAR_SHIPMENTS_LABEL,SUPPLIES
ID_SHOP_CATEGORY_RAID_SHIPMENTS_LABEL,SUPPLIES
