id,translation
ID_AUTH_GAME_CENTER_CONNECT,Connect with\nGame Center
ID_AUTH_GAME_CENTER_CONNECTED,Connected to\nGame Center
ID_AUTH_GOOGLE_PLAY_CONNECT,Connect to\nGoogle Play Games
ID_AUTH_GOOGLE_PLAY_CONNECTED,Sign out of\nGoogle Play Games
ID_AUTH_FACEBOOK_CONNECT,Connect with\nFacebook
ID_AUTH_FACEBOOK_CONNECTED,Sign out of\nFacebook
ID_AUTH_LINK_FAILED,Failed to link account. Please try again later or contact Customer Support.
ID_AUTH_LINK_ALREADY_LINKED,This account is linked to another player. Switch to that player?
ID_AUTH_LINK_ALREADY_LINKED_TITLE,CONFIRMATION REQUIRED
ID_CHAT_NO_MEMBERS,You are the only member of your alliance. Ask your friends to join!
ID_CHAT_NO_ALLIANCE,Join an Alliance to participate in Alliance chat!
ID_CHAT_NO_WAR,Not in a war.
ID_CHAT_SYSTEM_MSG_NAME,[System]
ID_CHAT_BLOCK,BLOCK
ID_CHAT_UNBLOCK,UNBLOCK
ID_CHAT_USER_BLOCKED,{user} blocked
ID_CHAT_USER_UNBLOCKED,{user} unblocked
ID_CHAT_BLOCKED_USERS,BLOCKED USERS
ID_CHAT_NO_BLOCKED,You have no blocked players
ID_CHAT_BLOCKED_MAX_TITLE,Are you sure you want to block <color=white>{user}</color>?
ID_CHAT_BLOCKED_MAX_BODY,<size=45>You have reached the maximum number of blocked players. Blocking this player will automatically unblock the oldest blocked user on your list. You can unblock players through the <color=white>BLOCKED PLAYERS</color> tab in the <COLOR=white>CHAT</color> screen.</size>
ID_CHAT_BLOCK_CONFIRM_TITLE,Are you sure you want to block <color=white>{user}</color>?
ID_CHAT_BLOCK_CONFIRM_BODY,NOTE: You can unblock players through the <color=white>BLOCKED PLAYERS</color> tab in the <COLOR=white>CHAT</color> screen.
ID_CHAT_UNBLOCK_CONFIRM_TITLE,Unblock <color=white>{user}</color>
ID_CHAT_UNBLOCK_CONFIRM_BODY,Are you sure you want to unblock <color=white>{user}</color>?
ID_CHAT_ENTERTEXT,Enter text here
ID_CHAT_SEND,SEND
ID_CHAT_GLOBAL_LABEL,GLOBAL
