id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,30,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,30,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,30,hc,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
4,50,hc,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
5,50,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
6,50,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
7,70,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
8,70,hc,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,
9,70,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
10,80,hc,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,
