id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,240,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,240,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,240,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
4,240,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
5,240,energy-campaign-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,240,energy-campaign-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,240,energy-campaign-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
8,240,energy-campaign-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
9,240,energy-campaign-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
10,240,energy-campaign-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
11,240,energy-campaign-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
12,240,energy-campaign-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
13,240,energy-campaign-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
14,240,energy-campaign-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
15,240,energy-campaign-cur,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
16,240,energy-campaign-cur,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
17,240,energy-campaign-cur,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
18,240,energy-campaign-cur,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
19,240,energy-campaign-cur,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
20,240,energy-campaign-cur,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
21,240,energy-campaign-cur,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
22,240,energy-campaign-cur,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
23,240,energy-campaign-cur,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
24,240,energy-campaign-cur,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
