id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
4,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
5,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
8,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
9,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
10,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
11,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
12,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
13,100,hc,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
14,100,hc,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
15,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
16,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
17,100,hc,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
18,100,hc,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
19,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
20,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
