id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,heal-insanity-cur-02,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,heal-insanity-cur-02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,heal-insanity-cur-02,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
4,heal-insanity-cur-02,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
5,heal-insanity-cur-02,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
6,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
7,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
8,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
9,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
10,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
11,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
12,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
13,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
14,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
15,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
16,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
17,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
18,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
19,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
20,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
21,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
22,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
23,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
24,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
25,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
26,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
27,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
28,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
29,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
30,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
31,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
32,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
33,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
34,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
35,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
36,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
37,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
38,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
39,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
40,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
