id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,heal-insanity-cur-02,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,heal-insanity-cur-02,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,heal-insanity-cur-02,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
4,heal-insanity-cur-02,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
5,heal-insanity-cur-02,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
6,heal-insanity-cur-02,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
7,heal-insanity-cur-02,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
8,heal-insanity-cur-02,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,700,
9,heal-insanity-cur-02,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
10,heal-insanity-cur-02,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,
11,heal-insanity-cur-02,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,
12,heal-insanity-cur-02,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,
13,heal-insanity-cur-02,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
14,heal-insanity-cur-02,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,
15,heal-insanity-cur-02,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,
16,heal-insanity-cur-02,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,
17,heal-insanity-cur-02,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
18,heal-insanity-cur-02,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,
19,heal-insanity-cur-02,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,
20,heal-insanity-cur-02,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,
21,heal-insanity-cur-02,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,
22,heal-insanity-cur-02,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,
23,heal-insanity-cur-02,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,
24,heal-insanity-cur-02,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,
25,heal-insanity-cur-02,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
26,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
27,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
28,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
29,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
30,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
31,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
32,heal-insanity-cur-02,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,
