H1,,Start here
G1,,Empty room
H2,,Empty room
I1,,Empty room
F1,Cosmic,
E2,Cosmic,
F2,Global or Cosmic,
G2,Global,
I2,Global,
J2,Global or Cosmic,
K2,Cosmic,
J1,Cosmic,
D3,Cosmic,
E3,Global or Cosmic,Boss
F3,Global,
G3,Global or City,
I3,Global or City,
J3,Global,
K3,Cosmic or Global,Boss
L3,Cosmic,
C4,Cosmic,
D4,Cosmic or Global,
E4,Global,
F4,Global or City,Boss
G4,City,
I4,City,
J4,City or Global,Boss
K4,Global,
L4,Global or Cosmic,
M4,Cosmic,
N5,Cosmic,
M5,Cosmic or Global,Boss
L5,Global,
K5,Global or City,
J5,City,
F5,City,
E5,Global or City,
D5,Global,
C5,Global or Cosmic,Boss
B5,Cosmic,
A6,Cosmic,
B6,Cosmic or Global,
C6,Global,
D6,City or Global,Boss
E6,City,
K6,City,
L6,City or Global,Boss
M6,Global,
N6,Global or Cosmic,
O6,Cosmic,
A7,Cosmic,Boss
B7,Global,
C7,Global or City,
D7,City,
A8,Cosmic,
B8,Global,Boss
C8,City,
A9,Cosmic,
B9,Global,
C9,City,Boss
A10,any,Boss
B10,Global,
L7,City,
M7,Global or City,
N7,Global,
O7,Cosmic,Boss
M8,City,
N8,Global,Boss
O8,Cosmic,
M9,City,Boss
N9,Global,
O9,Cosmic,
N10,Global,
O10,any,Boss
