A1,,Start here
A2,,Empty room
A3,,Empty room
A4,,Empty room
A5,,Empty room
A6,any,
A7,any,
B7,any,
B1,,Empty room
C1,,Empty room
D1,,Empty room
E1,,Empty room
C2,,Empty room
C3,,Empty room
F1,any,
G1,any,
G2,any,
G3,any,Boss
F3,any,
C7,any,Boss
C4,any,
C5,any,
B5,any,
E3,any,
E2,any,
D3,any,
C6,any,
H3,any,
I3,any,
I4,any,
I5,any,Boss
C8,any,
C9,any,
D9,any,
E9,any,Boss
E10,any,
E11,any,
F11,any,
G11,any,Boss
J5,any,
K5,any,
K6,any,
K7,any,Boss
L7,any,
M7,any,
M8,any,
M9,any,Boss
I13,any,Boss
H13,any,
G13,any,
G12,any,
H11,any,
I11,any,
J11,any,
I12,any,
K11,any,Boss
K10,any,
K9,any,
L9,any,
G4,any,
G5,any,
H5,any,
G6,any,
G7,any,Boss
F7,any,
F5,any,
E5,any,Boss
D5,any,
E4,any,
E6,any,
E7,any,
D7,any,
E8,any,
F9,any,
G9,any,
H9,any,
I9,any,Boss
J9,any,
K8,any,
I8,any,
I7,any,
I6,any,
I10,any,
G8,any,
H7,any,
J7,any,
G10,any,
B3,,Empty room
