sheet_id,gear_Tier,slot1_ID,slot1_LvlReq,slot2_ID,slot2_LvlReq,slot3_ID,slot3_LvlReq,slot4_ID,slot4_LvlReq,slot5_ID,slot5_LvlReq,slot6_ID,slot6_LvlReq,health,damage,armor,focus,resist,crit_Damage,crit_Chance,speed,dodge_Chance,block_Chance,block_Amount,accuracy,
TestMan,0,,0,,0,,0,,0,,0,,0,60,18,4,32,32,0,0,0,0,0,0,0,
TestMan,1,Green_Focus_Mat,1,T1_NoArmor,1,Green_Damage_Mat,1,Green_Resist_Mat,3,Green_Armor_Mat,2,Green_Health_Mat,4,378,112,23,53,53,0,0,0,0,0,0,0,
TestMan,2,T2_Mutant_Focus,12,T1_NoArmor,4,T2_Mutant_Damage,6,T2_Mutant_Resist,9,T2_Mutant_Armor,4,T2_Mutant_Health,10,964,237,58,82,82,0,0,0,0,0,0,0,
TestMan,3,T3_Mutant_Focus,14,T1_NoArmor,12,T3_Mutant_Damage,12,T3_Mutant_Resist,15,T3_Mutant_Armor,14,T3_Mutant_Health,18,1791,378,108,113,113,0,0,0,0,0,0,0,
TestMan,4,T4_Mutant_Focus,24,T1_NoArmor,18,T4_Mutant_Damage,18,T4_Mutant_Resist,19,T4_Mutant_Armor,19,T4_Mutant_Health,20,3258,534,196,149,149,0,0,0,0,0,0,0,
TestMan,5,T5_Mutant_Focus,24,T1_NoArmor,24,T5_Mutant_Damage,28,T5_Mutant_Resist,25,T5_Mutant_Armor,30,T5_Mutant_Health,25,4804,709,288,188,188,0,0,0,0,0,0,0,
TestMan,6,T6_Mutant_Focus,36,T1_NoArmor,30,T6_Mutant_Damage,31,T6_Mutant_Resist,30,T6_Mutant_Armor,35,T6_Mutant_Health,30,6732,904,404,232,232,0,0,0,0,0,0,0,
TestMan,7,T7_Mutant_Focus,40,T1_NoArmor,36,T7_Mutant_Damage,42,T7_Mutant_Resist,41,T7_Mutant_Armor,36,T7_Mutant_Health,37,9852,1119,591,281,281,0,0,0,0,0,0,0,
TestMan,8,T8_Mutant_Focus,45,T1_NoArmor,42,T8_Mutant_Damage,48,T8_Mutant_Resist,43,T8_Mutant_Armor,42,T8_Mutant_Health,46,13792,1358,828,334,334,0,0,0,0,0,0,0,
TestMan,9,T9_Mutant_Focus,54,T1_NoArmor,48,T9_Mutant_Damage,48,T9_Mutant_Resist,48,T9_Mutant_Armor,48,T9_Mutant_Health,49,17568,1621,1054,394,394,0,0,0,0,0,0,0,
TestMan,10,T10_Mutant_Focus,54,T1_NoArmor,54,T10_Mutant_Damage,60,T10_Mutant_Resist,59,T10_Mutant_Armor,54,T10_Mutant_Health,54,22016,1912,1321,460,460,0,0,0,0,0,0,0,
TestMan,11,T11_Mutant_Focus,61,T1_NoArmor,60,T11_Mutant_Damage,63,T11_Mutant_Resist,60,T11_Mutant_Armor,60,T11_Mutant_Health,65,25068,2177,1504,520,520,0,0,0,0,0,0,0,
TestMan,12,T12_Mutant_Focus,69,T1_NoArmor,65,T12_Mutant_Damage,70,T12_Mutant_Resist,69,T12_Mutant_Armor,66,T12_Mutant_Health,65,28373,2464,1702,584,584,0,0,0,0,0,0,0,
TestMan,13,Green_Focus_Mat,1000,T1_NoArmor,1000,Green_Damage_Mat,1000,Green_Resist_Mat,1000,T1_NoArmor,1000,Green_Health_Mat,1000,44333,3850,2660,1636,1636,0,0,0,0,0,0,0,
TestMan,14,Green_Focus_Mat,1000,T1_NoArmor,1000,Green_Damage_Mat,1000,Green_Resist_Mat,1000,T1_NoArmor,1000,Green_Health_Mat,1000,55415,4813,3325,1826,1826,0,0,0,0,0,0,0,
TestMan,15,Green_Focus_Mat,1000,T1_NoArmor,1000,Green_Damage_Mat,1000,Green_Resist_Mat,1000,T1_NoArmor,1000,Green_Health_Mat,1000,69268,6016,4156,2031,2031,0,0,0,0,0,0,0,
