id,translation
ID_PERCENTAGE,{num}%
ID_ALLIANCE_RANK_OWNER,Leader
ID_ALLIANCE_RANK_OWNER_PLURAL,Leaders
ID_ALLIANCE_RANK_ADMIN,Captain
ID_ALLIANCE_RANK_ADMIN_PLURAL,Captains
ID_ALLIANCE_RANK_MEMBER,Member
ID_ALLIANCE_RANK_MEMBER_PLURAL,Members
ID_AGEGATE_TITLE,WELCOME
ID_AGEGATE_PROMPT,Please input your current age.
ID_AGEGATE_ENTER_PROMPT,MARVEL Strike Force
ID_AGEGATE_ENTER,ENTER
ID_AGEGATE_LOCKOUT,"Sorry, you are not permitted to continue."
ID_CONSENT_ENFORCEMENT_MESSAGE,Please accept the terms by checking all appropriate checkboxes before continuing.
ID_CONSENT_BUTTON,ACCEPT
ID_CONSENT_TITLE,WELCOME
ID_CONSENT_VIEW_CP,COOKIE POLICY
ID_CONSENT_VIEW_PP,PRIVACY POLICY
ID_CONSENT_VIEW_TOS,TERMS OF USE
ID_CONSENT_CP_AFFIRMATIVE_CONSENT_01,"We use first and third party cookies on this app to enable customer support functionality, measure performance, and, in some instances, to enable targeted advertising."
ID_CONSENT_CP_AFFIRMATIVE_CONSENT_02,"If you tap ACCEPT or continue to use the app, you accept the use of cookies according to our Cookie Policy. For more information, including how to opt out from third party advertising/performance cookies, see our Cookie Policy at the following link."
ID_CONSENT_PP_CP_TOS_AFFIRMATIVE_CONSENT,"By tapping ACCEPT, you confirm that you have read and accept the Privacy Policy, the Cookie Policy, and the Terms of Use."
ID_CONSENT_PP_TOS_AFFIRMATIVE_CONSENT,"By tapping ACCEPT, you confirm that you have read and accept the Privacy Policy and the Terms of Use."
ID_CONSENT_PP_AFFIRMATIVE_CONSENT_ACTIVE,I have read and understood the Privacy Policy.
ID_CONSENT_TOS_AFFIRMATIVE_CONSENT_ACTIVE,I agree to the Terms of Use.
ID_CONSENT_TEEN_LEGAL_GUARDIAN_AFFIRMATIVE_CONSENT,"If you are a teenager, you may provide personal information only if your guardian has read and agreed to these policies and terms on your behalf."
ID_CONSENT_FURTHER_NOTICE_CO_MSG,"FoxNext Games LLC is collecting your personal data for the purposes of providing you with this app. If you do not provide us with your personal data we may not be able to provide you with these services. We may disclose your information to third parties (e.g. our related companies or third parties who provide goods and services to us). Some of these third parties are located in the United States and Canada. Our privacy policy contains information about how you can seek to access or correct personal data we hold about you, how you can make a privacy complaint and how we will deal with a privacy complaint. You can contact us at foxnextgames.tou@fox.com."
