id,translation
ID_USER_DEFAULT_ENTRY,Me
ID_ALLIANCEUI_ACCESS,You have unlocked Alliances!
ID_WAR_ACCESS,You have unlocked Alliance War!
ID_ALLIANCE_DEFAULT_NAME,My Alliance
ID_ALLIANCE_DEFAULT_ENTRY,This is the default alliance for {name}.
ID_ALLIANCE_ALL,ALL
ID_ALLIANCE_INVITE_ONLY,PRIVATE
ID_ALLIANCE_PUBLIC,PUBLIC
ID_ALLIANCE_PRIVATE,PRIVATE
ID_ALLIANCE_SEARCHING,Loading...
ID_ALLIANCE_NONE_FOUND,No alliances were found.
ID_ALLIANCE_KICK,KICK
ID_ALLIANCE_PROMOTE,PROMOTE
ID_ALLIANCE_DEMOTE,DEMOTE
ID_ALLIANCE_VISIT,VISIT
ID_ALLIANCE_PROMOTE_TO_LEADER,MAKE LEADER
ID_ALLIANCE_INVITE,INVITE
ID_ALLIANCE_INVITE_TO_ALLIANCE,INVITE TO ALLIANCE
ID_ALLIANCE_RAID,Raid
ID_ALLIANCE_UPGRADE_HELLICARRIER,Upgrade Helicarrier
ID_ALLIANCE_WAR_SCHEDULE,WAR SCHEDULE
ID_ALLIANCE_CREATE,CREATE
ID_ALLIANCE_SAVE,Save
ID_ALLIANCE_SEARCH,Search
ID_ALLIANCE_NAME,NAME
ID_ALLIANCE_PRIVACY_TEXT,ALLIANCE TYPE
ID_ALLIANCE_RAID_STARTER_TEXT,RANK NEEDED TO LAUNCH RAID
ID_ALLIANCE_RAID_STARTER_MSG_OWNER,Only Alliance Leaders can launch a raid.
ID_ALLIANCE_RAID_STARTER_MSG_ADMIN,Only Leaders and Captains can launch a raid.
ID_ALLIANCE_SEARCH_PLACEHOLDER,Enter alliance search info...
ID_ALLIANCE_RECOMMENDED_ALLIANCES,Recommended Alliances
ID_ALLIANCE_ALREADY_INVITED,ALREADY INVITED
ID_ALLIANCE_ACCEPT,ACCEPT
ID_ALLIANCE_CLAIM,CLAIM!
ID_ALLIANCE_DECLINE,DECLINE
ID_ALLIANCE_CANCEL,CANCEL
ID_ALLIANCE_CONFIRM,CONFIRM
ID_ALLIANCE_INVITATION_TITLE,ALLIANCE INVITATION
