id,translation
ID_ARENA_ACCESS,You have unlocked Blitz!
ID_ARENA_LOCKED,Blitz Access Denied
ID_ARENA_LOCKED_DESC,Blitz will unlock when you reach Player Level 12.
ID_ARENA_REWARDS_CLAIMED,CLAIMED
ID_ARENA_REWARDS_CLAIM,CLAIM
ID_ARENA_REWARDS_COMPLETE,COMPLETE
ID_ARENA_WINNER,BLITZ WINNER
ID_ARENA_ENDS_IN,ENDS IN:
ID_ARENA_EVENT_ENDS_IN,EVENT ENDS IN:
ID_ARENA_POINTS,Points:
ID_ARENA_COMPLETED,Completed:
ID_ARENA_MORE_INFO,MORE INFO
ID_ARENA_MAINMENU_INFOBOX,Win battles in Blitz to earn Blitz Points and complete milestones and earn rank rewards! Points earned for winning a battle are determined by the Power of your opponent's team and your Blitz Points multiplier. Your current tier determines your Points multiplier.
ID_ARENA_UNLOCKED_RANK_REWARDS,You have unlocked RANK REWARDS
ID_ARENA_REACH_TO_EARN,Reach {points} points to earn rank rewards
ID_ARENA_RANK_RANGE,{min}-{max}
ID_AR_NA_HAWKEYE,Sharpshooter
ID_AR_SM_HAWKEYE,Win HAWKEYE Shards!
ID_AR_LM_HAWKEYE,Face off against other players' teams to earn various milestone rewards and a chance to win HAWKEYE shards!
ID_AR_MT_HAWKEYE,LIVE: Sharpshooter Blitz
ID_AR_MS_HAWKEYE,Your chance to win HAWKEYE shards.
ID_AR_MB_HAWKEYE,"<color=#fff568>Sharpshooter Blitz</color>\nFace off against other players' teams to earn various milestone rewards and a chance to win Hawkeye shards!\n\n<color=#fff568>Sharpshooter Orb</color>\nFor a limited time, a new Sharpshooter Orb is available in the Store. The orb contains <color=#fff568>only Hawkeye shards</color> and guarantees at least 6 shards with a chance to win <color=#fff568>up to 180</color>! Recruit Hawkeye now!"
ID_AR_MC_HAWKEYE,GO!
ID_AR_ES_HAWKEYE,ENDED: Sharpshooter Blitz
ID_AR_EB_HAWKEYE,The Sharpshooter Blitz has ended; visit <color=#fff568>BLITZ</color> to collect your rewards.
ID_AR_NA_WINTERSOLDIER,Bucky Barnes
ID_AR_SM_WINTERSOLDIER,Win WINTER SOLDIER Shards!
ID_AR_LM_WINTERSOLDIER,Face off against other players' teams to earn various milestone rewards and a chance to win WINTER SOLDIER shards!
ID_AR_MT_WINTERSOLDIER,LIVE: Bucky Barnes Blitz
ID_AR_MS_WINTERSOLDIER,Your chance to win WINTER SOLDIER shards.
ID_AR_MB_WINTERSOLDIER,Face off against other players' teams to earn various milestone rewards and a chance to win <color=#fff568>WINTER SOLDIER</color> shards!
ID_AR_MC_WINTERSOLDIER,GO!
ID_AR_ES_WINTERSOLDIER,ENDED: Bucky Barnes Blitz
ID_AR_EB_WINTERSOLDIER,The Bucky Barnes Blitz has ended; visit <color=#fff568>BLITZ</color> to collect your rewards.
ID_AR_NA_ORB,Orb Assault
ID_AR_SM_ORB,Earn ORB FRAGMENTS!
ID_AR_LM_ORB,Face off against other players' teams for ORB FRAGMENTS and various other milestone rewards!
ID_AR_MT_ORB,LIVE: Orb Assault Blitz
ID_AR_MS_ORB,Compete to earn ORB FRAGMENTS.
ID_AR_MB_ORB,Face off against other players' teams for <color=#fff568>ORB FRAGMENTS</color> and various other milestone rewards!
ID_AR_MC_ORB,GO!
ID_AR_ES_ORB,ENDED: Orb Assault Blitz
ID_AR_EB_ORB,The Orb Assault Blitz has ended; be sure to collect your rewards.
