id,translation
ID_CHAL_GOLD_NAME,Gold Rush
ID_CHAL_GOLD_DESC,Earn GOLD. Use GOLD to purchase supplies and improve your characters.
ID_CHAL_XP_NAME,Training Day
ID_CHAL_XP_DESC,Earn TRAINING MODULES. Use TRAINING MODULES to level up your characters.
ID_CHAL_ABL_NAME,Ability Enhancements
ID_CHAL_ABL_DESC,Earn ABILITY MATERIALS. Use ABILITY MATERIALS to upgrade your character's abilities.\n\nOnly CONTROLLERS & PROTECTORS allowed.
ID_CHAL_HEALTHBUCKS_NAME,Medical Supply Run
ID_CHAL_HEALTHBUCKS_DESC,Earn HEALTH PACKS and BLITZ CHARGES. Use HEALTH PACKS to heal injured characters and BLITZ CHARGES to bypass their recovery time for battles in Blitz.\n\nOnly BRAWLERS & SUPPORT allowed.
ID_CHAL_SHARDS_NAME,Orb Fragments
ID_CHAL_SHARDS_DESC,Earn ORB FRAGMENTS. Collect enough ORB FRAGMENTS to unlock free ORBS.
ID_CHAL_CATALYST_NAME,Catalyst of Change
ID_CHAL_CATALYST_DESC,Earn CATALYSTS. CATALYSTS are essential to improving your characters' gear.\n\nOnly BLASTERS allowed.
ID_EVENT_ELEKTRA_NAME,Elektra Assassin
ID_EVENT_CHANCE_ELEKTRA,Earn Elektra Shards
ID_EVENT_ELEKTRA_DESC,An imposter Elektra is wreaking havoc in Hell's Kitchen. Help the real Elektra track down the doppelganger and restore peace in New York City.
ID_EVENT_CROSSBONES_NAME,Double-Crossed
ID_EVENT_CHANCE_CROSSBONES,Earn Crossbones Shards
ID_EVENT_CROSSBONES_DESC,"Ultimus has double-crossed Crossbones. Help Crossbones get payback, and in exchange he'll join your S.T.R.I.K.E. team."
ID_FL_MERC_NAME,Payday
ID_FL_MERC_DESC,Recruit a team of your best mercenaries to score a payload of GOLD.
ID_CHAL_XP_STAGE1_NAME,Tier 1
ID_CHAL_XP_STAGE1_DESC,Earn TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 9+
ID_CHAL_XP_STAGE2_NAME,Tier 2
ID_CHAL_XP_STAGE2_DESC,Earn some more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 14+
ID_CHAL_XP_STAGE3_NAME,Tier 3
ID_CHAL_XP_STAGE3_DESC,Earn more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 18+
ID_CHAL_XP_STAGE4_NAME,Tier 4
ID_CHAL_XP_STAGE4_DESC,Earn even more TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 26+
ID_CHAL_XP_STAGE5_NAME,Tier 5
ID_CHAL_XP_STAGE5_DESC,Earn a lot of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 34+
ID_CHAL_XP_STAGE6_NAME,Tier 6
ID_CHAL_XP_STAGE6_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 40+\n- Gear Tier 6+
ID_CHAL_STAGE7_NAME,Tier 7
ID_CHAL_XP_STAGE7_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 50+\n- Gear Tier 7+
ID_CHAL_STAGE8_NAME,Tier 8
ID_CHAL_XP_STAGE8_DESC,Earn a ton of TRAINING MODULES.\n\nRecommendations:\n- Squad Lvl 55+\n- Gear Tier 8+
ID_CHAL_GOLD_STAGE1_NAME,Tier 1
ID_CHAL_GOLD_STAGE1_DESC,Earn GOLD.\n\nRecommendations:\n- Squad Lvl 9+
ID_CHAL_GOLD_STAGE2_NAME,Tier 2
ID_CHAL_GOLD_STAGE2_DESC,Earn some more GOLD.\n\nRecommendations:\n- Squad Lvl 14+
ID_CHAL_GOLD_STAGE3_NAME,Tier 3
ID_CHAL_GOLD_STAGE3_DESC,Earn more GOLD.\n\nRecommendations:\n- Squad Lvl 18+
ID_CHAL_GOLD_STAGE4_NAME,Tier 4
ID_CHAL_GOLD_STAGE4_DESC,Earn even more GOLD.\n\nRecommendations:\n- Squad Lvl 26+
ID_CHAL_GOLD_STAGE5_NAME,Tier 5
