id,translation
ID_DAILY_ARENA_FIGHTS,Blitz Champion
ID_DAILY_APPLY_GEAR,Geared Up
ID_DAILY_CHALLENGES,Challenge Accepted
ID_DAILY_HERO_TRAIN,Training Up
ID_DAILY_OPEN_CHESTS,Orb Opening
ID_DAILY_SUPPLY_PURCHASES,Supplies Restocked
ID_SPEND_ENERGY_CAMPAIGN,Heroes Campaign Progress
ID_COMPLETE_ALL_DAILIES,All Clear
ID_DA_DE_COMPLETE_DAILIES,Complete All Daily Objectives
ID_DAILY_EARTH_MISSIONS,Nexus Campaign Progress
ID_RAID_ULTIMUS_KEYS,Ultimus Raid Keys Contributed
ID_RAID_HYDRA_KEYS,Hydra Raid Keys Contributed
ID_DA_DE_ARENA,Compete in 2 Battles in Blitz
ID_DA_DE_EQUIP_GEAR,Equip 1 Piece of Gear
ID_DA_DE_CHALLENGES,Complete 2 Challenges
ID_DA_DE_TRAIN,Train 1 Character
ID_DA_DE_NEXUS_EARTH,Play 3 Nexus Campaign Missions
ID_DA_DE_OPEN_ORBS,Open 2 Orbs
ID_DA_DE_SUPPLIES,Make 3 Supply Purchases
ID_DAILY_OPEN_ORBS,Orb Opening
ID_DA_DE_HYDRA_KEYS,Spend Campaign Energy to contribute Hydra Raid Keys
ID_DA_DE_ULTIMUS_KEYS,Spend Campaign Energy to contribute Ultimus Raid Keys
ID_SPEND_ENERGY_CAMPAIGN_12,Complete 2 Hero Campaign Missions
ID_DA_NA_BATTLES,Total Campaign Progress
ID_DA_DE_BATTLES,Finish 10 Campaign Missions
ID_DA_DE_VILLAIN,Play 3 VILLAINS UNITED Missions
ID_DA_NA_VILLAIN,Villains Campaign Progress
ID_DAILY_HEROES_MISSIONS,Heroes Campaign Progress
ID_DA_DE_HEROES,Play 2 HEROES ASSEMBLE Missions
ID_DAILY_HEROESCAMPAIGN_MISSIONS,Heroes Campaign Progress
ID_DA_HEROESCAMPAIGN_MISSIONS,Play 3 HEROES ASSEMBLE Missions
ID_DA_NA_SIM,AUTO WIN
ID_DA_DE_SIM,Auto Win 3 Missions
ID_DA_NA_BATTLEGROUNDS_BATTLES,Daily Arena Battles
ID_DA_DE_BATTLEGROUNDS_BATTLES,Complete 2 Battles in the Arena
ID_DA_NA_THANOS_KEYS,Thanos Raid Keys Contributed
