id,translation
ID_GEAR_T1_PLACEHOLDERGEAR_NAME,T1_PlaceholderGear
ID_GEAR_T1_PLACEHOLDERGEAR_DESCRIPTION,
ID_GEAR_T1_NOARMOR_NAME,Poly Fiber
ID_GEAR_T1_NOARMOR_DESCRIPTION,
ID_GEAR_T1_BIO_HEALTH_NAME,No one uses THIS gear piece
ID_GEAR_T1_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T2_BIO_HEALTH_NAME,Bone Augmentation
ID_GEAR_T2_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T3_BIO_HEALTH_NAME,Heart Augmentation
ID_GEAR_T3_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T4_BIO_HEALTH_NAME,Improved Spine Augmentation
ID_GEAR_T4_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T5_BIO_HEALTH_NAME,Improved Bone Augmentation
ID_GEAR_T5_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T6_BIO_HEALTH_NAME,Improved Heart Augmentation
ID_GEAR_T6_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T7_BIO_HEALTH_NAME,Improved Lung Augmentation
ID_GEAR_T7_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T8_BIO_HEALTH_NAME,Advanced Spine Augmentation
ID_GEAR_T8_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T9_BIO_HEALTH_NAME,Advanced Bone Augmentation
ID_GEAR_T9_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T10_BIO_HEALTH_NAME,Advanced Heart Augmentation
ID_GEAR_T10_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T11_BIO_HEALTH_NAME,Advanced Lung Augmentation
ID_GEAR_T11_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T12_BIO_HEALTH_NAME,Superior Spine Augmentation
ID_GEAR_T12_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T13_BIO_HEALTH_NAME,Superior Bone Augmentation
ID_GEAR_T13_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T14_BIO_HEALTH_NAME,Superior Heart Augmentation
ID_GEAR_T14_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T15_BIO_HEALTH_NAME,Superior Lung Augmentation
ID_GEAR_T15_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T16_BIO_HEALTH_NAME,Red Spine Augmentation
ID_GEAR_T16_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T17_BIO_HEALTH_NAME,Red Bone Augmentation
ID_GEAR_T17_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T18_BIO_HEALTH_NAME,Red Heart Augmentation
ID_GEAR_T18_BIO_HEALTH_DESCRIPTION,
ID_GEAR_T19_BIO_HEALTH_NAME,Red Lung Augmentation
ID_GEAR_T19_BIO_HEALTH_DESCRIPTION,
