id,translation
ID_SHARD_AIMCONTROL_INFECT_NAME,A.I.M. Infector
ID_SHARD_AIMCONTROL_INFECT_DESCRIPTION,A virulent attacker who prevents healing and passes negative effects to his targets.
ID_SHARD_AIMDMG_OFFENSE_NAME,A.I.M. Monstrosity
ID_SHARD_AIMDMG_OFFENSE_DESCRIPTION,A massive brute that gains strength at the expense of vulnerability.
ID_SHARD_AIMDMG_SPEED_NAME,A.I.M. Assaulter
ID_SHARD_AIMDMG_SPEED_DESCRIPTION,An aggressive soldier who sacrifices healing for rapid attacks.
ID_SHARD_AIMSUPPORT_HEAL_NAME,A.I.M. Researcher
ID_SHARD_AIMSUPPORT_HEAL_DESCRIPTION,A focused healer who applies and removes negative effects.
ID_SHARD_AIMTANK_TAUNT_NAME,A.I.M. Security
ID_SHARD_AIMTANK_TAUNT_DESCRIPTION,A resilient guard who taunts while healing herself and slowing her enemies.
ID_SHARD_ANTMAN_NAME,Ant-Man
ID_SHARD_ANTMAN_DESCRIPTION,A master thief skilled at disabling powerful opponents with the help of his Pym Particle powered suit.
ID_SHARD_BARONMORDO_NAME,Mordo
ID_SHARD_BARONMORDO_DESCRIPTION,A powerful sorcerer who weakens his enemies with forbidden magic.
ID_SHARD_BLACKPANTHER_NAME,Black Panther
ID_SHARD_BLACKPANTHER_DESCRIPTION,"An agile, relentless hunter who shreds his enemies with rapid attacks."
ID_SHARD_BLACKWIDOW_NAME,Black Widow
ID_SHARD_BLACKWIDOW_DESCRIPTION,A stealthy saboteur who steals enemy advantages and delivers disabling attacks.
ID_SHARD_BUDDY_NAME,Doctor Doom
ID_SHARD_BUDDY_DESCRIPTION,
ID_SHARD_BULLSEYE_NAME,Bullseye
ID_SHARD_BULLSEYE_DESCRIPTION,A ruthless mercenary who takes down single targets with focused damage and perfect accuracy.
ID_SHARD_CABLE_NAME,Cable
ID_SHARD_CABLE_DESCRIPTION,"A time-traveler from the future who can manipulate turn order and charge up attacks to blast his enemies. "
ID_SHARD_CAPTAINAMERICA_NAME,Captain America
ID_SHARD_CAPTAINAMERICA_DESCRIPTION,A resilient leader who provides energy to his team while blocking enemy attacks.
ID_SHARD_CAPTAINMARVEL_NAME,Captain Marvel
ID_SHARD_CAPTAINMARVEL_DESCRIPTION,A powerful cosmic soldier who breaks down the defenses of multiple foes and gains overwhelming power in Binary form.
ID_SHARD_CARNAGE_NAME,Carnage
ID_SHARD_CARNAGE_DESCRIPTION,"An insane brawler that viciously tears through foes with negative effects, attacking more frequently as their health decreases."
ID_SHARD_CROSSBONES_NAME,Crossbones
ID_SHARD_CROSSBONES_DESCRIPTION,"A vengeful, die hard bruiser with a devastating explosion attack."
ID_SHARD_DAREDEVIL_NAME,Daredevil
ID_SHARD_DAREDEVIL_DESCRIPTION,"A tough bruiser who delivers bonus attacks, chain attacks, and counterattacks."
ID_SHARD_DEADPOOL_NAME,Deadpool
ID_SHARD_DEADPOOL_DESCRIPTION,A magical unicorn who specializes in stab-shooting vulnerable targets.
ID_SHARD_DOCTORSTRANGE_NAME,Doctor Strange
ID_SHARD_DOCTORSTRANGE_DESCRIPTION,Sorcerer Supreme and versatile healer with the ability to remove effects from friends and foes.
ID_SHARD_DRAX_NAME,Drax
ID_SHARD_DRAX_DESCRIPTION,"An unpredictable, taunting attacker with rapid attacks that drain health."
ID_SHARD_ELEKTRA_NAME,Elektra
ID_SHARD_ELEKTRA_DESCRIPTION,A stealthy assassin capable of dealing immense damage to a single target.
ID_SHARD_FALCON_NAME,Falcon
ID_SHARD_FALCON_DESCRIPTION,A soldier who excels at War and deals massive damage to enemies who have multiple positive effects.
ID_SHARD_GAMORA_NAME,Gamora
ID_SHARD_GAMORA_DESCRIPTION,An aggressive warrior who can attack again after defeating an enemy.
ID_SHARD_GROOT_NAME,Groot
ID_SHARD_GROOT_DESCRIPTION,A resilient healer who defends allies and has a chance to revive. Protective of Rocket Raccoon.
ID_SHARD_HANDCONTROL_HEALBLOCK_NAME,Hand Assassin
ID_SHARD_HANDCONTROL_HEALBLOCK_DESCRIPTION,A quick attacker who prevents healing on a single target.
ID_SHARD_HANDDMG_BONUS_NAME,Hand Blademaster
ID_SHARD_HANDDMG_BONUS_DESCRIPTION,A sword-wielding ninja who assails his target with multiple attacks.
ID_SHARD_HANDDMG_UNBUFF_NAME,Hand Archer
ID_SHARD_HANDDMG_UNBUFF_DESCRIPTION,A deadly archer who can clear effects off the enemy team.
ID_SHARD_HANDSUPPORT_HEAL_NAME,Hand Sorceress
ID_SHARD_HANDSUPPORT_HEAL_DESCRIPTION,A mystical healer who drains health when attacking.
ID_SHARD_HANDTANK_STEALTH_NAME,Hand Sentry
ID_SHARD_HANDTANK_STEALTH_DESCRIPTION,An expert martial artist who conceals his allies with smoke bombs.
ID_SHARD_HAWKEYE_NAME,Hawkeye
ID_SHARD_HAWKEYE_DESCRIPTION,An expert archer who delivers unavoidable attacks to disable his foes.
ID_SHARD_HULK_NAME,Hulk
ID_SHARD_HULK_DESCRIPTION,An incredibly tough taunter who gets stronger when damaged.
ID_SHARD_HYDRADMG_AOE_NAME,Hydra Grenadier
ID_SHARD_HYDRADMG_AOE_DESCRIPTION,Hydra special weapons experts deliver explosive grenade attacks.
ID_SHARD_HYDRADMG_BUFF_NAME,Hydra Rifle Trooper
ID_SHARD_HYDRADMG_BUFF_DESCRIPTION,Hydra assault troops overwhelm enemies with storms of bullets.
ID_SHARD_HYDRADMG_SINGLE_NAME,Hydra Sniper
ID_SHARD_HYDRADMG_SINGLE_DESCRIPTION,Hydra snipers take careful aim before shooting to ensure perfect accuracy.
ID_SHARD_HYDRASUPPORT_HEAL_NAME,Hydra Scientist
ID_SHARD_HYDRASUPPORT_HEAL_DESCRIPTION,Hydra scientists use experimental treatments to heal their comrades.
ID_SHARD_HYDRATANK_TAUNT_NAME,Hydra Armored Guard
ID_SHARD_HYDRATANK_TAUNT_DESCRIPTION,The most loyal and resilient Hydra guards are trained to sacrifice themselves for the cause.
ID_SHARD_IRONFIST_NAME,Iron Fist
ID_SHARD_IRONFIST_DESCRIPTION,A versatile martial artist with healing abilities and a powerful single target attack.
ID_SHARD_IRONMAN_NAME,Iron Man
ID_SHARD_IRONMAN_DESCRIPTION,A versatile damage dealer with high armor and low health.
