id,translation
ID_GAMEMODE_ISO8,Iso-8
ID_UI_ISO8_FILTERS_TIER_MENU_TITLE,TIER SELECTION
ID_UI_ISO8_FILTERS_SHAPE_MENU_TITLE,SHAPE SELECTION
ID_UI_ISO8_FILTERS_SET_MENU_TITLE,SET SELECTION
ID_UI_ISO8_FILTERS_TIER_DESC,1 - 2 Primary\n1 - 2 Secondary
ID_UI_ISO8_FILTERS_SHAPE_DESC,ARMOR <size=30>OR</size> HEALTH
ID_UI_ISO8_FILTERS_SET_DESC,LOREM IPSUM
ID_UI_ISO8_FILTERS_MENU_BUTTON,CHANGE
ID_UI_ISO8_FILTERS_SELECT_BUTTON,SELECT
ID_UI_ISO8_FILTERS_SELECTED_BUTTON,SELECTED
ID_UI_ISO8_TITLE_CARD_CHALLENGES,ISO-8 TRIALS
ID_UI_ISO8_TITLE_CARD_CRAFTING,CRAFTING CHAMBER
ID_UI_ISO8_TITLE_CARD_INVENTORY,INVENTORY
ID_UI_ISO8_TITLE_CARD_MISSIONS,CAMPAIGNS
ID_UI_ISO8_TITLE_CARD_ROSTER,ROSTER
ID_UI_ISO8_TITLE_CARD_STORE,SUPPLIES
ID_DAILY_ISO8_EQUIP,EQUIPPING Iso-8
ID_DA_ISO_EQUIP_1,Equip 1 Iso-8
ID_DAILY_ISO8_CRAFT,Crafting Iso-8
ID_DA_ISO_CRAFT_1,Craft 3 Iso-8
ID_UI_ISO8_CHALLENGES_LOCKED,Complete Iso-8 Campaign Chapter 2 Mission 4
ID_CHAL_ISO_SHAPE_01_NAME,S1 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_01,Earn S1 Shapes
ID_CHAL_ISO_SHAPE_01_DESC,Earn S1 SHAPES. Use S1 SHAPES to craft for Iso-8.
ID_CHAL_ISO_SHAPE_02_NAME,S2 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_02,Earn S2 Shapes
ID_CHAL_ISO_SHAPE_02_DESC,Earn S2 SHAPES. Use S2 SHAPES to craft for Iso-8.
ID_CHAL_ISO_SHAPE_03_NAME,S3 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_03,Earn S3 Shapes
ID_CHAL_ISO_SHAPE_03_DESC,Earn S3 SHAPES. Use S3 SHAPES to craft for Iso-8.
ID_CHAL_ISO_SHAPE_04_NAME,S4 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_04,Earn S4 Shapes
ID_CHAL_ISO_SHAPE_04_DESC,Earn S4 SHAPES. Use S4 SHAPES to craft for Iso-8.
ID_CHAL_ISO_SHAPE_05_NAME,S5 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_05,Earn S5 Shapes
ID_CHAL_ISO_SHAPE_05_DESC,Earn S5 SHAPES. Use S5 SHAPES to craft for ISO-8.
ID_CHAL_ISO_SHAPE_06_NAME,S6 SHAPES
ID_CHAL_CHANCE_ISO_SHAPE_06,Earn S6 Shapes
ID_CHAL_ISO_SHAPE_06_DESC,Earn S6 SHAPES. Use S6 SHAPES to craft for Iso-8.
ID_CHAL_ISO_SET_NAME,SET COMPONENTS
ID_CHAL_CHANCE_ISO_SET,Earn Set Components
ID_CHAL_ISO_SET_DESC,Earn SET COMPONENTS. Use SET COMPONENTS to craft for Iso-8.
ID_CHAL_ISO_TRAIT_NAME,TRAIT COMPONENTS
ID_CHAL_CHANCE_ISO_TRAIT,Earn Trait Components
ID_CHAL_ISO_TRAIT_DESC,Earn TRAIT COMPONENTS. Use TRAIT COMPONENTS to craft for Iso-8.
ID_CHAL_ISO_CRAFT_NAME,CRAFTING CURRENCY
ID_CHAL_CHANCE_ISO_CRAFT,Earn Crafting Currency
ID_CHAL_ISO_CRAFT_DESC,Earn CRAFTING CURRENCY. Use CRAFTING CURRENCY to buy crafting components.
ID_CHAL_ISO_SHAPE_01_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_01_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_01_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_02_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_02_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_02_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_03_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_03_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_03_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_04_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_04_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_04_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_05_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_05_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_05_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_06_M01_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SHAPE_06_M02_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SHAPE_06_M03_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SET_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_SET_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_SET_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_TRAIT_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_TRAIT_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_TRAIT_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_CRAFT_STAGE_01_NAME,TIER 1
ID_CHAL_ISO_CRAFT_STAGE_02_NAME,TIER 2
ID_CHAL_ISO_CRAFT_STAGE_03_NAME,TIER 3
ID_CHAL_ISO_SHAPE_01_M01_STAGE_01_DESC,Earn a ton of S1 SHAPES
ID_CHAL_ISO_SHAPE_01_M02_STAGE_02_DESC,Earn a ton of S1 SHAPES
ID_CHAL_ISO_SHAPE_01_M03_STAGE_03_DESC,Earn a ton of S1 SHAPES
ID_CHAL_ISO_SHAPE_02_M01_STAGE_01_DESC,Earn a ton of S2 SHAPES
ID_CHAL_ISO_SHAPE_02_M02_STAGE_02_DESC,Earn a ton of S2 SHAPES
ID_CHAL_ISO_SHAPE_02_M03_STAGE_03_DESC,Earn a ton of S2 SHAPES
ID_CHAL_ISO_SHAPE_03_M01_STAGE_01_DESC,Earn a ton of S3 SHAPES
ID_CHAL_ISO_SHAPE_03_M02_STAGE_02_DESC,Earn a ton of S3 SHAPES
ID_CHAL_ISO_SHAPE_03_M03_STAGE_03_DESC,Earn a ton of S3 SHAPES
ID_CHAL_ISO_SHAPE_04_M01_STAGE_01_DESC,Earn a ton of S4 SHAPES
ID_CHAL_ISO_SHAPE_04_M02_STAGE_02_DESC,Earn a ton of S4 SHAPES
ID_CHAL_ISO_SHAPE_04_M03_STAGE_03_DESC,Earn a ton of S4 SHAPES
ID_CHAL_ISO_SHAPE_05_M01_STAGE_01_DESC,Earn a ton of S5 SHAPES
ID_CHAL_ISO_SHAPE_05_M02_STAGE_02_DESC,Earn a ton of S5 SHAPES
ID_CHAL_ISO_SHAPE_05_M03_STAGE_03_DESC,Earn a ton of S5 SHAPES
ID_CHAL_ISO_SHAPE_06_M01_STAGE_01_DESC,Earn a ton of S6 SHAPES
ID_CHAL_ISO_SHAPE_06_M02_STAGE_02_DESC,Earn a ton of S6 SHAPES
ID_CHAL_ISO_SHAPE_06_M03_STAGE_03_DESC,Earn a ton of S6 SHAPES
ID_CHAL_ISO_SET_STAGE_01_DESC,Earn a ton of SET COMPONENTS
ID_CHAL_ISO_SET_STAGE_02_DESC,Earn a ton of SET COMPONENTS
ID_CHAL_ISO_SET_STAGE_03_DESC,Earn a ton of SET COMPONENTS
ID_CHAL_ISO_TRAIT_STAGE_01_DESC,Earn a ton of TRAIT COMPONENTS
ID_CHAL_ISO_TRAIT_STAGE_02_DESC,Earn a ton of TRAIT COMPONENTS
ID_CHAL_ISO_TRAIT_STAGE_03_DESC,Earn a ton of TRAIT COMPONENTS
ID_CHAL_ISO_CRAFT_STAGE_01_DESC,Earn a ton of CRAFTING CURRENCY
ID_CHAL_ISO_CRAFT_STAGE_02_DESC,Earn a ton of CRAFTING CURRENCY
