id,translation
ID_MOTD_NA_UNLOCKIRONMAN,FREE Iron Man!
ID_MOTD_DE_UNLOCKIRONMAN,Reach Commander Level 25 and claim Iron Man in Achievements
ID_MOTD_NA_GEAR,Remember to EQUIP GEAR
ID_MOTD_DE_GEAR,Gear greatly boosts your characters' stats!
ID_MOTD_NA_CROSSBONES,Recruit Crossbones!
ID_MOTD_DE_CROSSBONES,Earn Crossbones shards by completing the Double-Crossed event
ID_MOTD_NA_STARTEROFFER,Unlock Captain America
ID_MOTD_DE_STARTEROFFER,Recruit Cap by purchasing the New Player Special Offer!
ID_MOTD_NA_STARTEROFFER_BP,Unlock Black Panther
ID_MOTD_DE_STARTEROFFER_BP,Recruit Black Panther by purchasing the New Player Special Offer!
ID_MOTD_NA_IRONMANTEASER,Coming Soon: I am Iron Man
ID_MOTD_DE_IRONMANTEASER_LC,Prepare to recruit the Legendary Avenger!
ID_MOTD_DE_IRONMANTEASER,"Event starts June 11, 5:00PM (PDT)!"
ID_MOTD_NA_IRONMANLIVE,Live: I am Iron Man
ID_MOTD_DE_IRONMANLIVE,Recruit Iron Man for a limited time!
ID_MOTD_DE_IRONMANLIVE_LC,Battle to recruit Iron Man!
ID_MOTD_NA_HAWKEYE,Sharpshooter: Now Live!
ID_MOTD_DE_HAWKEYE,Battle for a chance to win HAWKEYE shards
ID_MOTD_NA_WINTERSOLDIER,Bucky Barnes: Now Live!
ID_MOTD_DE_WINTERSOLDIER,Battle for a chance to win WINTER SOLDIER shards
ID_MOTD_NA_ORB,Orb Assault: Now Live!
ID_MOTD_DE_ORB,Battle for a chance to win ORB FRAGMENTS
ID_MOTD_NA_THOR,God of Thunder: Now Live!
ID_MOTD_DE_THOR,Battle for a chance to win THOR shards
ID_MOTD_NA_LOKI,God of Mischief: Now Live!
ID_MOTD_DE_LOKI,Battle for a chance to win LOKI shards
ID_MOTD_NA_BLACKPANTHER,Warrior King: Now Live!
ID_MOTD_DE_BLACKPANTHER,Battle for a chance to win BLACK PANTHER shards
ID_MOTD_NA_DRAX,Destroyer: Now Live!
ID_MOTD_DE_DRAX,Battle for a chance to win DRAX shards
ID_MOTD_NA_JESSICAJONES,Alias: Now Live!
ID_MOTD_DE_JESSICAJONES,Battle for a chance to win JESSICA JONES shards
ID_MOTD_NA_GAMORA,Deadliest Woman: Now Live!
ID_MOTD_DE_GAMORA,Battle for a chance to win GAMORA shards
ID_MOTD_NA_GROOT,Gentle Giant: Now Live!
ID_MOTD_DE_GROOT,Battle for a chance to win GROOT shards
ID_MOTD_NA_RONAN,Accuser: Now Live!
ID_MOTD_DE_RONAN,Battle for a chance to win RONAN shards
ID_MOTD_NA_KORATH,Pursuer: Now Live!
ID_MOTD_DE_KORATH,Battle for a chance to win KORATH shards
ID_MOTD_NA_ROCKETRACCOON,Weapons Expert: Now Live!
ID_MOTD_DE_ROCKETRACCOON,Battle for a chance to win ROCKET RACCOON shards
ID_MOTD_NA_BLACKWIDOW,Widow's Bite: Now Live!
ID_MOTD_DE_BLACKWIDOW,Battle for a chance to win BLACK WIDOW shards
ID_MOTD_NA_QUAKE,Tremors: Now Live!
ID_MOTD_DE_QUAKE,Battle for a chance to win QUAKE shards
ID_MOTD_NA_VENOM,Symbiotic Terror: Now Live!
ID_MOTD_DE_VENOM,Battle for a chance to win VENOM shards
ID_MOTD_NA_BARONMORDO,Dark Arts: Now Live!
ID_MOTD_DE_BARONMORDO,Battle for a chance to win MORDO shards
ID_MOTD_NA_YONDU,Centaurian Hunter: Now Live!
ID_MOTD_DE_YONDU,Battle for a chance to win YONDU shards
ID_MOTD_NA_CAPTAINAMERICA,First Avenger: Now Live!
ID_MOTD_DE_CAPTAINAMERICA,Battle for a chance to win CAPTAIN AMERICA shards
ID_MOTD_NA_ROCKETRACCOON_TEASER,Upcoming Event: Rocket's Gambit
ID_MOTD_DE_ROCKETRACCOON_TEASER,Unlocks at Lv 20!
ID_MOTD_NA_ROCKETRACCOON_LIVE,Recruit Rocket Raccoon!
ID_MOTD_DE_ROCKETRACCOON_LIVE,Earn Rocket Raccoon Shards by completing the Rocket's Gambit event!
ID_MOTD_NA_WOLVERINE,Weapon X: Now Live!
ID_MOTD_DE_WOLVERINE,Battle for a chance to win WOLVERINE shards
ID_MOTD_NA_VISION,Synthezoid: Now Live!
ID_MOTD_DE_VISION,Battle for a chance to win VISION shards
ID_MOTD_NA_STARLORD,Peter Quill: Now Live!
ID_MOTD_DE_STARLORD,Battle for a chance to win STAR-LORD shards
ID_MOTD_NA_DOCTORSTRANGE,Sorcerer Supreme: Now Live!
ID_MOTD_DE_DOCTORSTRANGE,Battle for a chance to win DOCTOR STRANGE shards
ID_DR_MOTD_NA_WOLVERINE,Daily Objectives: Wolverine!
ID_DR_MOTD_DE_WOLVERINE,Earn Wolverine shards by completing your Daily Objectives every day!
ID_MOTD_NA_WELCOME,Welcome!
ID_MOTD_DE_WELCOME,Thank you for playing MARVEL Strike Force!
ID_MOTD_NA_RAID,You've unlocked Alliance Raids!
ID_MOTD_DE_RAID,Participate in raids to earn rare Ability Materials
ID_MOTD_NA_BLITZ_WINNERS,Blitz Winners
ID_MOTD_DE_BLITZ_WINNERS,Congratulations to our latest champions!
ID_MOTD_NA_IRONFIST,Immortal Protector: Now Live!
ID_MOTD_DE_IRONFIST,Battle for a chance to win IRON FIST shards
ID_MOTD_NA_NEBULA,Sadistic Sister: Now Live!
ID_MOTD_DE_NEBULA,Battle for a chance to win NEBULA shards
ID_MOTD_NA_THANOS_TAKEOVER,NOW LIVE: Infinity War
ID_MOTD_DE_THANOS_TAKEOVER,Reach level 15 and take on the Mad Titan!
ID_MOTD_NA_THANOS_LEGEND,The Mad Titan Arrives
ID_MOTD_DE_THANOS_LEGEND,Take on Thanos in The Mad Titan event!
ID_MOTD_NA_THANOS_RAID,LIMITED: Thanos Raids
ID_MOTD_DE_THANOS_RAID,Participate in Thanos Raids to earn more Infinity Orb Fragments!
ID_MOTD_NA_BULLSEYE,On Target: Now Live!
ID_MOTD_DE_BULLSEYE,Battle for a chance to win BULLSEYE shards
ID_MOTD_NA_PUNISHER,Violent Vigilante: Now Live!
ID_MOTD_DE_PUNISHER,Battle for a chance to win PUNISHER shards
ID_MOTD_NA_SPIDERMAN,Web-Slinger: Now Live!
ID_MOTD_DE_SPIDERMAN,Battle for a chance to win SPIDER-MAN shards
ID_MOTD_NA_CABLE,Time Traveler: Now Live!
ID_MOTD_DE_CABLE,Battle for a chance to win CABLE shards
ID_MOTD_DE_BLACKWIDOW_GOLD,Chance for 1M Gold per Blitz battle!
ID_MOTD_NA_DEADPOOL,Merc with a Mouth: Now Live!
ID_MOTD_DE_DEADPOOL,Battle for a chance to win DEADPOOL shards
ID_MOTD_NA_DEADPOOL_TAKEOVER,NOW LIVE: Merc with a Mouth
ID_MOTD_DE_DEADPOOL_TAKEOVER,Reach Lvl 19 and help Deadpool!
ID_MOTD_NA_DEADPOOL_LEGEND,The Merc with a Mouth Arrives
ID_MOTD_DE_DEADPOOL_LEGEND,Join Deadpool in the Merc with a Mouth event!
ID_MOTD_NA_DEADPOOL_RAID,LIMITED: Deadpool Raids
ID_MOTD_DE_DEADPOOL_RAID,Participate in Deadpool Raids to earn more Deadpool Orb Fragments!
