id,translation
ID_MILESTONE_BLITZ_AIMCONTROL_INFECT,Win a Blitz with: A.I.M. Infector
ID_MILESTONE_BLITZ_AIMDMG_OFFENSE,Win a Blitz with: A.I.M. Monstrosity
ID_MILESTONE_BLITZ_AIMDMG_SPEED,Win a Blitz with: A.I.M. Assaulter
ID_MILESTONE_BLITZ_AIMSUPPORT_HEAL,Win a Blitz with: A.I.M. Researcher
ID_MILESTONE_BLITZ_AIMTANK_TAUNT,Win a Blitz with: A.I.M. Security
ID_MILESTONE_BLITZ_AMERICACHAVEZ,Win a Blitz with: America Chavez
ID_MILESTONE_BLITZ_ANTMAN,Win a Blitz with: Ant-Man
ID_MILESTONE_BLITZ_BARONMORDO,Win a Blitz with: Mordo
ID_MILESTONE_BLITZ_BLACKPANTHER,Win a Blitz with: Black Panther
ID_MILESTONE_BLITZ_BLACKWIDOW,Win a Blitz with: Black Widow
ID_MILESTONE_BLITZ_BUDDY,Win a Blitz with: Doctor Doom
ID_MILESTONE_BLITZ_BULLSEYE,Win a Blitz with: Bullseye
ID_MILESTONE_BLITZ_CABLE,Win a Blitz with: Cable
ID_MILESTONE_BLITZ_CAPTAINAMERICA,Win a Blitz with: Captain America
ID_MILESTONE_BLITZ_CAPTAINMARVEL,Win a Blitz with: Captain Marvel
ID_MILESTONE_BLITZ_CARNAGE,Win a Blitz with: Carnage
ID_MILESTONE_BLITZ_COLOSSUS,Win a Blitz with: Colossus
ID_MILESTONE_BLITZ_COULSON,Win a Blitz with: Agent Coulson
ID_MILESTONE_BLITZ_CROSSBONES,Win a Blitz with: Crossbones
ID_MILESTONE_BLITZ_CYCLOPS,Win a Blitz with: Cyclops
ID_MILESTONE_BLITZ_DAREDEVIL,Win a Blitz with: Daredevil
ID_MILESTONE_BLITZ_DEADPOOL,Win a Blitz with: Deadpool
ID_MILESTONE_BLITZ_DOCTORSTRANGE,Win a Blitz with: Doctor Strange
ID_MILESTONE_BLITZ_DRAX,Win a Blitz with: Drax
ID_MILESTONE_BLITZ_ELEKTRA,Win a Blitz with: Elektra
ID_MILESTONE_BLITZ_FALCON,Win a Blitz with: Falcon
ID_MILESTONE_BLITZ_GAMORA,Win a Blitz with: Gamora
ID_MILESTONE_BLITZ_GROOT,Win a Blitz with: Groot
ID_MILESTONE_BLITZ_HANDCONTROL_HEALBLOCK,Win a Blitz with: Hand Assassin
ID_MILESTONE_BLITZ_HANDDMG_BONUS,Win a Blitz with: Hand Blademaster
ID_MILESTONE_BLITZ_HANDDMG_UNBUFF,Win a Blitz with: Hand Archer
ID_MILESTONE_BLITZ_HANDSUPPORT_HEAL,Win a Blitz with: Hand Sorceress
ID_MILESTONE_BLITZ_HANDTANK_STEALTH,Win a Blitz with: Hand Sentry
ID_MILESTONE_BLITZ_HAWKEYE,Win a Blitz with: Hawkeye
ID_MILESTONE_BLITZ_HULK,Win a Blitz with: Hulk
ID_MILESTONE_BLITZ_HYDRADMG_AOE,Win a Blitz with: Hydra Grenadier
ID_MILESTONE_BLITZ_HYDRADMG_BUFF,Win a Blitz with: Hydra Rifle Trooper
ID_MILESTONE_BLITZ_HYDRADMG_SINGLE,Win a Blitz with: Hydra Sniper
ID_MILESTONE_BLITZ_HYDRASUPPORT_HEAL,Win a Blitz with: Hydra Scientist
ID_MILESTONE_BLITZ_HYDRATANK_TAUNT,Win a Blitz with: Hydra Armored Guard
ID_MILESTONE_BLITZ_IRONFIST,Win a Blitz with: Iron Fist
ID_MILESTONE_BLITZ_IRONMAN,Win a Blitz with: Iron Man
ID_MILESTONE_BLITZ_JESSICAJONES,Win a Blitz with: Jessica Jones
ID_MILESTONE_BLITZ_JUGGERNAUT,Win a Blitz with: Juggernaut
ID_MILESTONE_BLITZ_KILLMONGER,Win a Blitz with: Killmonger
ID_MILESTONE_BLITZ_KINGPIN,Win a Blitz with: Kingpin
ID_MILESTONE_BLITZ_KORATH,Win a Blitz with: Korath the Pursuer
ID_MILESTONE_BLITZ_KREECONTROL_ASSIST,Win a Blitz with: Kree Noble
ID_MILESTONE_BLITZ_KREEDMG_OFFENSE,Win a Blitz with: Kree Cyborg
ID_MILESTONE_BLITZ_KREEDMG_SPEED,Win a Blitz with: Kree Reaper
ID_MILESTONE_BLITZ_KREESUPPORT_HOT,Win a Blitz with: Kree Oracle
ID_MILESTONE_BLITZ_KREETANK_COUNTER,Win a Blitz with: Kree Royal Guard
ID_MILESTONE_BLITZ_LOCKJAW,Win a Blitz with: Lockjaw
ID_MILESTONE_BLITZ_LOKI,Win a Blitz with: Loki
ID_MILESTONE_BLITZ_LOKIMINION,"Win a Blitz with: Loki "
ID_MILESTONE_BLITZ_LUKECAGE,Win a Blitz with: Luke Cage
ID_MILESTONE_BLITZ_MAGNETO,Win a Blitz with: Magneto
ID_MILESTONE_BLITZ_MANTIS,Win a Blitz with: Mantis
ID_MILESTONE_BLITZ_MBAKU,Win a Blitz with: M'Baku
ID_MILESTONE_BLITZ_MERCDMG_GENERAL,Win a Blitz with: Mercenary Soldier
ID_MILESTONE_BLITZ_MERCDMG_SINGLE,Win a Blitz with: Mercenary Sniper
ID_MILESTONE_BLITZ_MERCSUPPORT_BUFFS,Win a Blitz with: Mercenary Lieutenant
ID_MILESTONE_BLITZ_MERCTANK_DEBUFF,Win a Blitz with: Mercenary Riot Guard
ID_MILESTONE_BLITZ_MERCTANK_TAUNT,Win a Blitz with: Mercenary Bodyguard
ID_MILESTONE_BLITZ_MINERVA,Win a Blitz with: Minn-Erva
ID_MILESTONE_BLITZ_MSMARVEL,Win a Blitz with: Ms. Marvel
ID_MILESTONE_BLITZ_MYSTIQUE,Win a Blitz with: Mystique
ID_MILESTONE_BLITZ_NEBULA,Win a Blitz with: Nebula
ID_MILESTONE_BLITZ_NICKFURY,Win a Blitz with: Nick Fury
ID_MILESTONE_BLITZ_NIGHTNURSE,Win a Blitz with: Night Nurse
ID_MILESTONE_BLITZ_NOBU,Win a Blitz with: Nobu
ID_MILESTONE_BLITZ_OKOYE,Win a Blitz with: Okoye
ID_MILESTONE_BLITZ_PHOENIX,Win a Blitz with: Phoenix
ID_MILESTONE_BLITZ_DARKPHOENIX,Win a Blitz with: Dark Phoenix
ID_MILESTONE_BLITZ_PUNISHER,Win a Blitz with: Punisher
ID_MILESTONE_BLITZ_PSYLOCKE,Win a Blitz with: Psylocke
ID_MILESTONE_BLITZ_PYRO,Win a Blitz with: Pyro
ID_MILESTONE_BLITZ_QUAKE,Win a Blitz with: Quake
ID_MILESTONE_BLITZ_RAVAGERDMG_AOE,Win a Blitz with: Ravager Boomer
ID_MILESTONE_BLITZ_RAVAGERSUPPORT_HEAL,Win a Blitz with: Ravager Stitcher
ID_MILESTONE_BLITZ_RAVAGERTANK_TAUNT,Win a Blitz with: Ravager Bruiser
ID_MILESTONE_BLITZ_REDSKULL,Win a Blitz with: Red Skull
ID_MILESTONE_BLITZ_RESCUE,Win a Blitz with: Rescue
ID_MILESTONE_BLITZ_ROCKETRACCOON,Win a Blitz with: Rocket Raccoon
ID_MILESTONE_BLITZ_ROCKETRACCOONOPERATOR,Win a Blitz with: Rocket Raccoon
ID_MILESTONE_BLITZ_RONAN,Win a Blitz with: Ronan the Accuser
ID_MILESTONE_BLITZ_SABRETOOTH,Win a Blitz with: Sabretooth
ID_MILESTONE_BLITZ_SCARLETWITCH,Win a Blitz with: Scarlet Witch
ID_MILESTONE_BLITZ_SCIENTISTSUPREME,Win a Blitz with: Scientist Supreme
ID_MILESTONE_BLITZ_SHIELDDMG_AOE,Win a Blitz with: S.H.I.E.L.D. Assault
ID_MILESTONE_BLITZ_SHIELDDMG_DEFENSE,Win a Blitz with: S.H.I.E.L.D. Trooper
ID_MILESTONE_BLITZ_SHIELDSUPPORT_HEAL,Win a Blitz with: S.H.I.E.L.D. Medic
ID_MILESTONE_BLITZ_SHIELDSUPPORT_STEALTH,Win a Blitz with: S.H.I.E.L.D. Operative
ID_MILESTONE_BLITZ_SHIELDTANK_STUN,Win a Blitz with: S.H.I.E.L.D. Security
ID_MILESTONE_BLITZ_SHURI,Win a Blitz with: Shuri
ID_MILESTONE_BLITZ_SPIDERMAN,Win a Blitz with: Spider-Man
ID_MILESTONE_BLITZ_STARLORD,Win a Blitz with: Star-Lord
ID_MILESTONE_BLITZ_STORM,Win a Blitz with: Storm
ID_MILESTONE_BLITZ_THANOS,Win a Blitz with: Thanos
ID_MILESTONE_BLITZ_THOR,Win a Blitz with: Thor
ID_MILESTONE_BLITZ_ULTIMUS,Win a Blitz with: Ultimus
ID_MILESTONE_BLITZ_ULTRON,Win a Blitz with: Ultron
ID_MILESTONE_BLITZ_ULTGREENGOBLIN,Win a Blitz with: Green Goblin
ID_MILESTONE_BLITZ_ULTSPIDERMAN,Win a Blitz with: Spider-Man (Miles)
ID_MILESTONE_BLITZ_ULTRONDMG_DEFENSE,Win a Blitz with: Ultron Fortifier
ID_MILESTONE_BLITZ_ULTRONDMG_OFFENSE,Win a Blitz with: Ultron Incinerator
ID_MILESTONE_BLITZ_ULTRONDMG_SPEED,Win a Blitz with: Ultron Accelerator
ID_MILESTONE_BLITZ_ULTRONSUPPORT_HEAL,Win a Blitz with: Ultron Fabricator
ID_MILESTONE_BLITZ_ULTRONTANK_TAUNT,Win a Blitz with: Ultron Reinforcer
ID_MILESTONE_BLITZ_VENOM,Win a Blitz with: Venom
ID_MILESTONE_BLITZ_VISION,Win a Blitz with: Vision
ID_MILESTONE_BLITZ_WARMACHINE,Win a Blitz with: War Machine
ID_MILESTONE_BLITZ_WASP,Win a Blitz with: Wasp
ID_MILESTONE_BLITZ_WINTERSOLDIER,Win a Blitz with: Winter Soldier
ID_MILESTONE_BLITZ_WOLVERINE,Win a Blitz with: Wolverine
ID_MILESTONE_BLITZ_YONDU,Win a Blitz with: Yondu
ID_ME_NA_CAMPAIGNENERGY,Save the World!
ID_ME_SD_CAMPAIGNENERGY,Spend Campaign Energy
ID_ME_SM_CAMPAIGNENERGY,Earn points by spending CAMPAIGN ENERGY
ID_ME_LM_CAMPAIGNENERGY,Spend CAMPAIGN ENERGY to earn various milestone rewards.
ID_ME_S1_CAMPAIGNENERGY,Spend 1 CAMPAIGN ENERGY
ID_ME_NA_SOFTCURRENCY,High Roller
ID_ME_SD_SOFTCURRENCY,Spend Gold
ID_ME_SM_SOFTCURRENCY,Earn points by spending GOLD
ID_ME_LM_SOFTCURRENCY,Spend GOLD to earn various milestone rewards.
ID_ME_S1_SOFTCURRENCY,Spend 1 GOLD
ID_ME_NA_HARDCURRENCY,Power Monger
ID_ME_SD_HARDCURRENCY,Spend Power Cores
ID_ME_SM_HARDCURRENCY,Earn points by spending POWER CORES
ID_ME_LM_HARDCURRENCY,Spend POWER CORES to earn various milestone rewards.
ID_ME_S1_HARDCURRENCY,Spend 1 POWER CORE
ID_ME_NA_CHARACTERTRAINING,Hone Your Skills
ID_ME_SD_CHARACTERTRAINING,Use Training Modules
ID_ME_SM_CHARACTERTRAINING,Earn points by using TRAINING MODULES
ID_ME_LM_CHARACTERTRAINING,Use TRAINING MODULES to train your characters and earn various milestone rewards.
ID_ME_S1_CHARACTERTRAINING,Use 1 L1 TRAINING MODULE
ID_ME_S2_CHARACTERTRAINING,Use 1 L2 TRAINING MODULE
ID_ME_S3_CHARACTERTRAINING,Use 1 L3 TRAINING MODULE
ID_ME_S4_CHARACTERTRAINING,Use 1 L4 TRAINING MODULE
ID_ME_NA_BATTLECOMPLETION,World Warrior
ID_ME_SD_BATTLECOMPLETION,Fight in Battles
ID_ME_SM_BATTLECOMPLETION,Earn points by fighting in battles
ID_ME_LM_BATTLECOMPLETION,Fight in any battle to earn various milestone rewards.
ID_ME_S1_BATTLECOMPLETION,Spend 1 CAMPAIGN ENERGY
ID_ME_S2_BATTLECOMPLETION,Complete a CHALLENGE
ID_ME_S3_BATTLECOMPLETION,Win a Battle in BLITZ
ID_ME_S4_BATTLECOMPLETION,Lose a Battle in BLITZ
ID_ME_NA_ARENACOMBAT,Ultimate Gladiator
ID_ME_SD_ARENACOMBAT,Win Battles in Blitz
ID_ME_SM_ARENACOMBAT,Earn points by competing in BLITZ
ID_ME_LM_ARENACOMBAT,Win in Blitz to earn various milestone rewards.
ID_ME_S1_ARENACOMBAT,Earn 1 BLITZ POINT
ID_ME_NA_ARENACOMBATALLY,Ultimate Gladiator
ID_ME_SD_ARENACOMBATALLY,Win Battles in Blitz
ID_ME_SM_ARENACOMBATALLY,Earn points by competing in BLITZ
ID_ME_LM_ARENACOMBATALLY,Win in Blitz as an ALLIANCE to earn various milestone rewards.
ID_ME_S1_ARENACOMBATALLY,Win a Battle in BLITZ
ID_ME_S2_ARENACOMBATALLY,Lose a Battle in BLITZ
ID_ME_NA_BATTLECOMPLETIONALLY,World Warrior
ID_ME_SD_BATTLECOMPLETIONALLY,Fight in Battles
ID_ME_SM_BATTLECOMPLETIONALLY,Earn points by fighting in battles
ID_ME_LM_BATTLECOMPLETIONALLY,Fight in any battle as an ALLIANCE to earn various milestone rewards.
ID_ME_S1_BATTLECOMPLETIONALLY,Spend 1 CAMPAIGN ENERGY
ID_ME_S2_BATTLECOMPLETIONALLY,Complete a CHALLENGE
ID_ME_S3_BATTLECOMPLETIONALLY,Win a Battle in BLITZ
ID_ME_S4_BATTLECOMPLETIONALLY,Lose a Battle in BLITZ
ID_ME_S5_BATTLECOMPLETIONALLY,Win a Battle in ARENA
ID_ME_S6_BATTLECOMPLETIONALLY,Lose a Battle in ARENA
ID_ME_NA_BLITZCOMBAT_ALLY_THANOS,Maddest Gladiator
