id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
4,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
5,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
6,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
7,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
8,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
9,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
10,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
11,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
12,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
13,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
14,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
15,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
16,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
17,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
18,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
19,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
20,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
21,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
22,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
23,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
24,120,energy-campaign-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
