id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
5,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
6,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
7,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
8,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
9,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
10,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
11,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
12,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
13,hc,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
14,hc,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,
15,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
16,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
17,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
18,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
19,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
20,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
