id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
4,100,hc,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
5,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
8,100,hc,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
9,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
10,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
11,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
12,100,hc,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
13,100,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
14,100,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
15,100,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
16,100,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
17,100,hc,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
18,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
19,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
20,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
21,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
22,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
23,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
24,100,hc,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
25,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
26,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
27,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
28,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
29,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
30,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
31,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
32,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
33,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
34,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
35,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
36,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
37,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
38,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
39,100,hc,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
40,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
41,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
42,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
43,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
44,100,hc,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
45,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
46,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
47,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
48,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
49,100,hc,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,
50,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
51,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
52,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
53,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
54,100,hc,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,
55,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
56,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
57,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
58,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
59,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
60,100,hc,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,6400,
