id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,5,energy-war-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,5,energy-war-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
3,5,energy-war-cur,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
4,10,energy-war-cur,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
5,10,energy-war-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
6,10,energy-war-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
7,15,energy-war-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
8,15,energy-war-cur,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,
9,15,energy-war-cur,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
10,20,energy-war-cur,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,
