id,reward_count,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,10,energy-raid-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,10,energy-raid-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,10,energy-raid-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,10,energy-raid-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
5,10,energy-raid-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,10,energy-raid-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,10,energy-raid-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
8,10,energy-raid-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
9,10,energy-raid-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
10,10,energy-raid-cur,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
11,10,energy-raid-cur,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
12,10,energy-raid-cur,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
13,10,energy-raid-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
14,10,energy-raid-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
15,10,energy-raid-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
16,10,energy-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
