id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,heal-raid-cur,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
2,heal-raid-cur,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
3,heal-raid-cur,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,
4,heal-raid-cur,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
5,heal-raid-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
6,heal-raid-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
7,heal-raid-cur,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
8,heal-raid-cur,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
9,heal-raid-cur,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
10,heal-raid-cur,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,
11,heal-raid-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
12,heal-raid-cur,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,
13,heal-raid-cur,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,
14,heal-raid-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
15,heal-raid-cur,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,
16,heal-raid-cur,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,
17,heal-raid-cur,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,350,
18,heal-raid-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
19,heal-raid-cur,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,
20,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
21,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
22,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
23,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
24,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
25,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
26,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
27,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
28,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
29,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
30,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
31,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
32,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
33,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
34,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
35,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
36,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
37,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
38,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
39,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
40,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
41,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
42,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
43,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
44,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
45,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
46,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
47,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
48,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
49,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
50,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
51,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
52,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
53,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
54,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
55,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
56,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
57,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
58,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
59,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
60,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
61,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
62,heal-raid-cur,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,
