id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,heal-operation-cur,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
2,heal-operation-cur,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
3,heal-operation-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
4,heal-operation-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
5,heal-operation-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
6,heal-operation-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
7,heal-operation-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
8,heal-operation-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
9,heal-operation-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
10,heal-operation-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
11,heal-operation-cur,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,600,
