id,cost_resource,vip1,vip2,vip3,vip4,vip5,vip6,vip7,vip8,vip9,vip10,vip11,vip12,vip13,vip14,vip15,vip16,vip17,vip18,vip19,vip20,
1,heal-operation-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
2,heal-operation-cur,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,
3,heal-operation-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
4,heal-operation-cur,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
5,heal-operation-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
6,heal-operation-cur,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
7,heal-operation-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
8,heal-operation-cur,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,
9,heal-operation-cur,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
10,heal-operation-cur,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,800,
11,heal-operation-cur,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,
